ID,Union,Region,County,Type,BoothGroup,BoothDensity,Popn1871_2,MABI71,FABI71,ChABI71,MNotABI71,FNotABI71,ChNotABI71,MABO71,FABO71,ChABO71,MNotABO71,FNotABO71,ChNotABO71,MABI81,FABI81,ChABI81,MNotABI81,FNotABI81,ChNotABI81,MABO81,FABO81,ChABO81,MNotABO81,FNotABO81,ChNotABO81,Popn1881,popratio7181,pauper71,pauper81,paupratio7181,outratio71,outratio81,outratio7181,MABI91,FABI91,ChABI91,MNotABI91,FNotABI91,ChNotABI91,MABO91,FABO91,ChABO91,MNotABO91,FNotABO91,ChNotABO91,Popn1881_2,Popn1891,popratio8191,pauper91,pauper81_2,paupratio8191,outratio91,outratio8191,mfab71I,mfab81I,mfab91I,mfab71O,mfab81O,mfab91O,mfnotab71I,mfnotab81I,mfnotab91I,mfnotab71O,mfnotab81O,mfnotab91O,adultchab71I,adultchab81I,adultchab91I,adultchnotab71I,adultchnotab81I,adultchnotab91I,adultchab71O,adultchab81O,adultchab91O,adultchnotab71O,adultchnotab81O,adultchnotab91O,Popn1871,PopnM1871,PopnF1871,M6571,PropM6571,F6571,PropF6571,PopnM1881,PopnF1881,M6581,PropM6581,F6581,PropF6581,PopnM1891,PopnF1891,M6591,PropM6591,F6591,PropF6591
1.0,Kensington,1.0,1.0,4.0,20.0,76.0,120299.0,34.0,64.0,64.0,262.0,292.0,248.0,563.0,802.0,1900.0,150.0,486.0,38.0,109.0,136.0,38.0,318.0,430.0,476.0,12.0,19.0,27.0,30.0,147.0,55.0,163151.0,135.6212437343619,0.0407567810206236,0.0110143364122806,27.02454937917499,4.08609958506224,0.192435301924353,4.709510816325878,77.0,113.0,16.0,489.0,617.0,609.0,13.0,32.0,74.0,58.0,187.0,27.0,163151.0,166308.0,101.9350172539549,0.0139019169252231,0.0110143364122806,126.2165636208721,0.20353982300884957,105.77052181873665,0.53125,0.8014705882352942,0.6814159292035398,0.7019950124688279,0.631578947368421,0.40625,0.8972602739726028,0.7395348837209302,0.7925445705024311,0.308641975308642,0.2040816326530612,0.3101604278074867,1.53125,6.447368421052632,11.875,2.233870967741936,1.571428571428571,1.816091954022989,0.718421052631579,1.148148148148148,0.6081081081081081,16.73684210526316,3.218181818181818,9.074074074074074,120299.0,48977.0,71322.0,1683.0,0.0343630683790351,2771.0,0.0388519671349654,65451.0,97700.0,2308.0,0.04,3989.0,0.0408290685772774,65717.0,100591.0,2800.0,0.0426069358004778,4854.0,0.0482548140489706
2.0,Fulham,1.0,1.0,4.0,20.0,47.0,66041.0,62.0,69.0,66.0,86.0,75.0,68.0,400.0,530.0,1149.0,139.0,413.0,75.0,91.0,98.0,95.0,118.0,111.0,206.0,51.0,147.0,421.0,58.0,249.0,19.0,114839.0,173.8904619857362,0.0474250844172559,0.0144898510088036,30.55313698826311,6.352112676056338,1.3143254520166898,20.691154566116403,57.0,79.0,100.0,338.0,358.0,523.0,40.0,55.0,161.0,114.0,366.0,48.0,114839.0,188878.0,164.4719999303373,0.0118542127722657,0.0144898510088036,81.8104531583065,0.5388316151202749,40.99681812396589,0.8985507246376812,0.9285714285714286,0.7215189873417721,0.7547169811320755,0.3469387755102041,0.7272727272727273,1.146666666666667,1.063063063063063,0.9441340782122905,0.3365617433414044,0.2329317269076305,0.3114754098360656,1.984848484848485,1.989473684210526,1.36,2.367647058823529,1.111650485436893,1.330783938814532,0.8093994778067886,0.4703087885985748,0.5900621118012422,7.36,16.15789473684211,10.0,66041.0,30285.0,35756.0,960.0,0.0316988608221892,1746.0,0.048830965432375,53174.0,61665.0,1441.0,0.0270997103847745,2578.0,0.0418065353117652,87056.0,101822.0,2464.0,0.0283036206579673,4460.0,0.0438019288562393
3.0,Paddington,1.0,1.0,4.0,20.0,94.0,96813.0,51.0,71.0,59.0,113.0,126.0,110.0,146.0,615.0,669.0,119.0,420.0,26.0,71.0,126.0,65.0,157.0,209.0,261.0,14.0,49.0,94.0,27.0,240.0,5.0,107218.0,110.7475235763792,0.0260812081022177,0.0122927120446194,47.13244875943506,3.7641509433962264,0.48256467941507314,12.820014039598435,85.0,94.0,77.0,281.0,327.0,58.0,52.0,54.0,112.0,9.0,103.0,92.0,107218.0,117846.0,109.9125146896976,0.0114047146275648,0.0122927120446194,92.7762285992596,0.45770065075921906,94.84752413168897,0.7183098591549296,0.5634920634920635,0.9042553191489362,0.2373983739837398,0.2857142857142857,0.9629629629629629,0.8968253968253969,0.7511961722488039,0.8593272171253823,0.2833333333333333,0.1125,0.087378640776699,2.067796610169491,3.030769230769231,2.324675324675325,2.172727272727273,1.402298850574713,10.48275862068966,1.137518684603887,0.6702127659574468,0.9464285714285714,20.73076923076923,53.4,1.217391304347826,96813.0,38841.0,57972.0,1373.0,0.0353492443551917,2326.0,0.0401228179120955,42782.0,64436.0,1689.0,0.0394792202328082,3027.0,0.0469768452417903,48547.0,69299.0,1893.0,0.0389931406678065,3655.0,0.0527424638162167
4.0,Chelsea,1.0,1.0,4.0,20.0,121.0,71089.0,34.0,28.0,6.0,224.0,242.0,207.0,154.0,265.0,610.0,90.0,343.0,20.0,12.0,18.0,93.0,403.0,421.0,296.0,46.0,90.0,163.0,45.0,157.0,20.0,88128.0,123.968546469918,0.031270660721068,0.020016339869281,64.00996783478725,2.0,0.41914722445695896,20.957361222847947,9.0,15.0,48.0,554.0,509.0,393.0,31.0,53.0,129.0,42.0,188.0,20.0,88128.0,96253.0,109.2195442992012,0.0206850695562736,0.020016339869281,103.3409189260361,0.3030104712041885,72.29213353297627,1.214285714285714,0.6666666666666666,0.6,0.5811320754716981,0.5111111111111111,0.5849056603773585,0.9256198347107438,0.9572446555819477,1.088408644400786,0.2623906705539358,0.286624203821656,0.2234042553191489,10.33333333333333,0.3225806451612903,0.5,2.251207729468599,2.783783783783784,2.704834605597964,0.6868852459016394,0.8343558282208589,0.6511627906976745,21.65,10.1,11.5,71089.0,32971.0,38118.0,1453.0,0.0440690303600133,2036.0,0.0534130856813054,41890.0,46238.0,1458.0,0.0348054428264502,2036.0,0.044033046412042,45619.0,50634.0,1685.0,0.0369363642342007,2478.0,0.0489394478018723
5.0,StGeorge,1.0,1.0,4.0,20.0,69.0,155936.0,274.0,316.0,204.0,503.0,553.0,180.0,483.0,925.0,1865.0,428.0,1426.0,250.0,42.0,52.0,177.0,852.0,857.0,221.0,25.0,100.0,241.0,91.0,529.0,104.0,149748.0,96.03170531500102,0.0475002565154935,0.0219769212276625,46.2669527279165,2.648768472906404,0.4952294411631077,18.69659225518149,275.0,129.0,284.0,944.0,717.0,129.0,38.0,44.0,67.0,44.0,253.0,83.0,149748.0,134138.0,89.57582071212971,0.0224172121248267,0.0219769212276625,102.003423921864,0.21347861178369654,43.1070114253134,0.8670886075949367,0.8076923076923077,2.131782945736434,0.5221621621621622,0.25,0.8636363636363636,0.9095840867992767,0.9941656942823804,1.316596931659693,0.3001402524544179,0.1720226843100189,0.1739130434782609,2.892156862745098,0.5310734463276836,1.422535211267606,5.866666666666666,7.733031674208145,12.87596899224806,0.7549597855227882,0.5186721991701245,1.223880597014925,7.416,5.961538461538462,3.578313253012048,155936.0,71152.0,84784.0,2317.0,0.0325640881493141,3466.0,0.0408803547839215,67855.0,81893.0,2473.0,0.0364453614324663,3813.0,0.0465607561085807,60862.0,73276.0,2442.0,0.0401235582136637,3736.0,0.0509853157923467
6.0,Westminster,1.0,1.0,4.0,19.0,173.0,51181.0,62.0,132.0,119.0,208.0,299.0,200.0,70.0,209.0,444.0,79.0,333.0,16.0,54.0,74.0,99.0,183.0,279.0,102.0,9.0,41.0,84.0,8.0,88.0,6.0,46549.0,90.94976651491764,0.0424180848361697,0.0220627725622462,52.01265603446912,1.1284313725490196,0.29835651074589126,26.439934053936497,37.0,56.0,53.0,169.0,247.0,124.0,4.0,20.0,38.0,7.0,95.0,0.0,46549.0,37312.0,80.1563943371501,0.0227808747855918,0.0220627725622462,103.2548140598356,0.239067055393586,80.12798339674853,0.4696969696969697,0.7297297297297297,0.6607142857142857,0.3349282296650718,0.2195121951219512,0.2,0.6956521739130435,0.6559139784946236,0.6842105263157895,0.2372372372372373,0.0909090909090909,0.0736842105263158,1.630252100840336,1.292929292929293,1.754716981132076,2.535,4.529411764705882,3.35483870967742,0.6283783783783784,0.5952380952380952,0.631578947368421,25.75,16.0,,51181.0,24811.0,26370.0,832.0,0.0335335133610092,1034.0,0.0392112248767539,22877.0,23672.0,816.0,0.0356690125453512,964.0,0.040723217303143,18611.0,18701.0,704.0,0.0378270915050239,786.0,0.0420298379765788
7.0,StMarylebone,1.0,1.0,4.0,20.0,95.0,159254.0,17.0,45.0,75.0,752.0,928.0,463.0,167.0,466.0,1208.0,333.0,1360.0,87.0,33.0,35.0,166.0,1028.0,1201.0,504.0,38.0,177.0,519.0,172.0,710.0,74.0,154910.0,97.27228201489444,0.037054014341869,0.0300626170034213,81.13187609325304,1.5881578947368422,0.5695989214694978,35.865383621940204,211.0,311.0,136.0,823.0,898.0,461.0,40.0,75.0,149.0,65.0,295.0,17.0,154910.0,142404.0,91.92692531147118,0.0244445380747732,0.0300626170034213,81.31207629725388,0.22570422535211268,39.625114592882746,0.3777777777777778,0.9428571428571428,0.6784565916398714,0.3583690987124464,0.2146892655367232,0.5333333333333333,0.8103448275862069,0.8559533721898418,0.9164810690423163,0.2448529411764706,0.2422535211267606,0.2203389830508475,0.8266666666666667,0.4096385542168675,3.838235294117647,3.628509719222462,4.422619047619047,3.733188720173536,0.5240066225165563,0.4142581888246628,0.7718120805369127,19.45977011494253,11.91891891891892,21.17647058823529,159254.0,69586.0,89668.0,2628.0,0.0377662173425689,4655.0,0.0519137261899451,67895.0,87015.0,2629.0,0.0387215553428088,4433.0,0.0509452393265529,62372.0,80032.0,2612.0,0.04187776566408,4173.0,0.0521416433426629
8.0,StJohnHampstead,1.0,1.0,4.0,20.0,30.0,32281.0,30.0,18.0,15.0,41.0,38.0,23.0,19.0,44.0,98.0,18.0,74.0,1.0,9.0,14.0,18.0,69.0,69.0,46.0,2.0,19.0,51.0,6.0,46.0,10.0,45452.0,140.801090424708,0.012979771382547,0.0078984423127695,60.85193706408418,1.5393939393939393,0.5955555555555555,38.68766404199475,44.0,33.0,7.0,87.0,78.0,66.0,3.0,15.0,40.0,13.0,66.0,21.0,45452.0,68416.0,150.5236293232421,0.0069135874649205,0.0078984423127695,87.53102436088187,0.5015873015873016,84.22174840085287,1.666666666666667,0.6428571428571429,1.333333333333333,0.4318181818181818,0.1052631578947368,0.2,1.078947368421053,1.0,1.115384615384615,0.2432432432432433,0.1304347826086957,0.196969696969697,3.2,1.277777777777778,11.0,3.434782608695652,3.0,2.5,0.6428571428571429,0.4117647058823529,0.45,92.0,5.2,3.761904761904762,32281.0,12466.0,19815.0,423.0,0.0339322958446976,720.0,0.036336109008327,17569.0,27883.0,646.0,0.0367693095793728,1010.0,0.0362227880787577,26777.0,41639.0,1025.0,0.038279120140419,1774.0,0.0426042892480607
9.0,StPancras,1.0,1.0,4.0,20.0,88.0,221465.0,268.0,284.0,213.0,529.0,557.0,339.0,840.0,1670.0,3644.0,559.0,2000.0,196.0,167.0,262.0,189.0,861.0,848.0,643.0,239.0,602.0,1488.0,335.0,1384.0,152.0,236258.0,106.6796107737114,0.0501162711940939,0.0303481786860128,60.55554007295984,4.0680365296803656,1.4141414141414141,34.76225947883822,255.0,411.0,231.0,961.0,884.0,783.0,152.0,272.0,746.0,134.0,674.0,164.0,236258.0,234379.0,99.20468301602486,0.0241787873486959,0.0303481786860128,79.67129625422872,0.6076595744680852,42.97021276595745,0.9436619718309859,0.6374045801526718,0.6204379562043796,0.5029940119760479,0.3970099667774086,0.5588235294117647,0.9497307001795332,1.015330188679245,1.08710407239819,0.2795,0.2420520231213873,0.198813056379822,2.591549295774648,2.26984126984127,2.883116883116883,3.20353982300885,2.657853810264386,2.35632183908046,0.6888035126234907,0.5651881720430108,0.5683646112600537,13.05612244897959,11.30921052631579,4.926829268292683,221465.0,103283.0,118182.0,3297.0,0.031922000716478,5406.0,0.0457430065492207,112516.0,123742.0,3666.0,0.0325820327775605,5713.0,0.046168641205088,113360.0,121019.0,3504.0,0.0309103740296401,5663.0,0.0467943050264834
10.0,StMaryIslington,1.0,1.0,4.0,20.0,103.0,213778.0,34.0,50.0,15.0,286.0,294.0,294.0,679.0,1039.0,2656.0,305.0,996.0,63.0,30.0,36.0,82.0,537.0,618.0,416.0,269.0,644.0,1647.0,189.0,772.0,19.0,282865.0,132.3171701484718,0.031392379010001,0.0185919078005409,59.2242715807485,5.897225077081192,2.0593368237347294,34.920437948656186,100.0,35.0,52.0,876.0,811.0,501.0,146.0,508.0,1373.0,276.0,1029.0,61.0,282865.0,319143.0,112.8251993000194,0.0180734028319593,0.0185919078005409,97.2111255383567,1.4286315789473685,69.37338090990188,0.68,0.8333333333333334,2.857142857142857,0.6535129932627527,0.4177018633540373,0.2874015748031496,0.9727891156462585,0.8689320388349514,1.080147965474723,0.3062248995983936,0.2448186528497409,0.2682215743440233,5.6,0.8048780487804879,2.596153846153846,1.972789115646259,2.776442307692308,3.367265469061876,0.6468373493975904,0.554341226472374,0.4763292061179898,20.65079365079365,50.57894736842106,21.39344262295082,213778.0,97745.0,116033.0,2751.0,0.0281446621310553,5023.0,0.0432894090474262,132580.0,150285.0,3848.0,0.0290239855181777,6524.0,0.0434108527131783,150760.0,168383.0,4753.0,0.0315269302202176,7840.0,0.046560519767435
