ori,group,year,pop,agency_name,m_emp,f_emp,emp,sworn,civil
AL01003,7,5.0,625.0,MCKENZIE,2.0,0.0,2.0,2.0,0.0
AL01100,9B,5.0,57307.0,CALHOUN,34.0,8.0,42.0,36.0,6.0
AL01101,5,5.0,23967.0,ANNISTON,100.0,28.0,128.0,93.0,35.0
AL01102,6,5.0,8769.0,JACKSONVILLE,25.0,5.0,30.0,24.0,6.0
AL01103,6,5.0,5024.0,PIEDMONT,17.0,4.0,21.0,15.0,6.0
AL01104,6,5.0,2573.0,WEAVER,6.0,3.0,9.0,6.0,3.0
AL01105,5,5.0,15743.0,OXFORD,51.0,9.0,60.0,49.0,11.0
AL01106,7,5.0,866.0,HOBSON CITY,8.0,0.0,8.0,4.0,4.0
AL01107,7,5.0,1217.0,OHATCHEE,6.0,0.0,6.0,6.0,0.0
AL01108,7,5.0,0.0,JACKSONVILLE STATE UNIV,13.0,4.0,17.0,13.0,4.0
AL01200,8C,5.0,16104.0,CHAMBERS,32.0,16.0,48.0,17.0,31.0
AL01201,6,5.0,3119.0,LAFAYETTE,15.0,1.0,16.0,15.0,1.0
AL01202,6,5.0,7644.0,LANETT,22.0,3.0,25.0,19.0,6.0
AL01204,6,5.0,8917.0,VALLEY,20.0,9.0,29.0,22.0,7.0
AL01300,8C,5.0,19817.0,CHEROKEE,30.0,8.0,38.0,16.0,22.0
AL01301,6,5.0,3322.0,CENTRE,9.0,0.0,9.0,8.0,1.0
AL01302,7,5.0,1528.0,CEDAR BLUFF,5.0,0.0,5.0,5.0,0.0
AL01400,9B,5.0,28265.0,CHILTON,36.0,15.0,51.0,24.0,27.0
AL01401,6,5.0,8267.0,CLANTON,23.0,1.0,24.0,23.0,1.0
AL01402,7,5.0,691.0,MAPLESVILLE,5.0,0.0,5.0,5.0,0.0
AL01403,7,5.0,2359.0,JEMISON,9.0,2.0,11.0,10.0,1.0
AL01404,7,5.0,1975.0,THORSBY,5.0,0.0,5.0,5.0,0.0
AL01500,8C,5.0,12637.0,CHOCTAW,10.0,3.0,13.0,5.0,8.0
AL01501,7,5.0,1840.0,BUTLER,5.0,4.0,9.0,5.0,4.0
AL01502,7,5.0,180.0,GILBERTOWN,2.0,0.0,2.0,2.0,0.0
AL01503,7,5.0,343.0,PENNINGTON,2.0,1.0,3.0,2.0,1.0
AL01504,7,5.0,511.0,SILAS,1.0,1.0,2.0,1.0,1.0
AL01505,7,5.0,146.0,TOXEY,0.0,0.0,0.0,0.0,0.0
AL01600,8C,5.0,15908.0,CLARKE,16.0,6.0,22.0,12.0,10.0
AL01601,6,5.0,5341.0,JACKSON,24.0,6.0,30.0,21.0,9.0
AL01602,6,5.0,4587.0,THOMASVILLE,15.0,5.0,20.0,15.0,5.0
AL01603,7,5.0,1396.0,GROVE HILL,6.0,0.0,6.0,6.0,0.0
AL01604,7,5.0,304.0,FULTON,0.0,0.0,0.0,0.0,0.0
AL01606,7,5.0,357.0,COFFEEVILLE,1.0,0.0,1.0,1.0,0.0
AL01700,8D,5.0,9898.0,CLAY,8.0,3.0,11.0,9.0,2.0
AL01701,7,5.0,1916.0,ASHLAND,9.0,3.0,12.0,8.0,4.0
AL01702,7,5.0,2364.0,LINEVILLE,10.0,1.0,11.0,6.0,5.0
AL01800,8C,5.0,10756.0,CLEBURNE,20.0,5.0,25.0,10.0,15.0
AL01801,6,5.0,3318.0,HEFLIN,10.0,0.0,10.0,9.0,1.0
AL01802,7,5.0,472.0,RANBURNE,2.0,0.0,2.0,2.0,0.0
AL01900,8C,5.0,17061.0,COFFEE,14.0,4.0,18.0,14.0,4.0
AL01901,6,5.0,4221.0,ELBA,18.0,8.0,26.0,17.0,9.0
AL01902,5,5.0,22367.0,ENTERPRISE,52.0,21.0,73.0,53.0,20.0
AL01903,7,5.0,1251.0,NEW BROCKTON,1.0,1.0,2.0,2.0,0.0
AL01904,7,5.0,617.0,KINSTON,4.0,0.0,4.0,4.0,0.0
AL01905,7,5.0,0.0,ENTERPRISE ST JUNIOR CO,2.0,0.0,2.0,2.0,0.0
AL02000,9C,5.0,22111.0,COLBERT,44.0,14.0,58.0,31.0,27.0
AL02001,6,5.0,9357.0,SHEFFIELD,34.0,5.0,39.0,34.0,5.0
AL02002,6,5.0,8222.0,TUSCUMBIA,20.0,5.0,25.0,25.0,0.0
AL02003,5,5.0,12471.0,MUSCLE SHOALS,39.0,4.0,43.0,34.0,9.0
AL02004,7,5.0,1194.0,CHEROKEE,4.0,1.0,5.0,4.0,1.0
AL02005,7,5.0,844.0,LEIGHTON,2.0,0.0,2.0,2.0,0.0
AL02006,7,5.0,959.0,LITTLEVILLE,6.0,2.0,8.0,5.0,3.0
AL02100,8D,5.0,9452.0,CONECUH,16.0,5.0,21.0,8.0,13.0
AL02101,6,5.0,3512.0,EVERGREEN,12.0,6.0,18.0,13.0,5.0
AL02102,7,5.0,569.0,CASTLEBERRY,1.0,0.0,1.0,1.0,0.0
AL02200,8D,5.0,9493.0,COOSA,15.0,4.0,19.0,7.0,12.0
AL02201,7,5.0,1531.0,GOODWATER,6.0,3.0,9.0,5.0,4.0
AL02202,7,5.0,413.0,ROCKFORD,1.0,1.0,2.0,1.0,1.0
AL02300,8C,5.0,18535.0,COVINGTON,40.0,8.0,48.0,22.0,26.0
AL02301,6,5.0,8645.0,ANDALUSIA,31.0,5.0,36.0,27.0,9.0
AL02302,6,5.0,6692.0,OPP,22.0,5.0,27.0,21.0,6.0
AL02303,7,5.0,1895.0,FLORALA,9.0,0.0,9.0,9.0,0.0
AL02304,7,5.0,239.0,GANTT,0.0,0.0,0.0,0.0,0.0
AL02305,7,5.0,551.0,RED LEVEL,2.0,0.0,2.0,2.0,0.0
AL02306,7,5.0,543.0,LOCKHART,0.0,0.0,0.0,0.0,0.0
AL02308,7,5.0,0.0,22ND JUD CIRCUIT DRUG TF,5.0,0.0,5.0,5.0,0.0
AL02400,8D,5.0,9548.0,CRENSHAW,7.0,2.0,9.0,8.0,1.0
AL02401,6,5.0,2659.0,LUVERNE,10.0,4.0,14.0,10.0,4.0
AL02402,7,5.0,905.0,BRANTLEY,4.0,1.0,5.0,4.0,1.0
AL02403,7,5.0,390.0,DOZIER,1.0,0.0,1.0,1.0,0.0
AL02404,7,5.0,191.0,GLENWOOD,0.0,0.0,0.0,0.0,0.0
AL02500,8B,5.0,61979.0,CULLMAN,93.0,26.0,119.0,73.0,46.0
AL02501,5,5.0,14633.0,CULLMAN,47.0,19.0,66.0,47.0,19.0
AL02502,6,5.0,3043.0,HANCEVILLE,9.0,6.0,15.0,10.0,5.0
AL02503,7,5.0,585.0,GARDEN CITY,0.0,0.0,0.0,0.0,0.0
AL02504,7,5.0,2018.0,GOOD HOPE,0.0,0.0,0.0,0.0,0.0
AL02600,8C,5.0,21391.0,DALE,15.0,6.0,21.0,17.0,4.0
AL02601,5,5.0,15044.0,OZARK,35.0,8.0,43.0,37.0,6.0
AL02602,6,5.0,4595.0,DALEVILLE,19.0,6.0,25.0,19.0,6.0
AL02603,7,5.0,1550.0,LEVEL PLAINS,3.0,3.0,6.0,3.0,3.0
AL02604,7,5.0,406.0,NAPIER FIELD,1.0,0.0,1.0,1.0,0.0
AL02605,7,5.0,1707.0,NEWTON,3.0,1.0,4.0,3.0,1.0
AL02606,7,5.0,1787.0,MIDLAND CITY,9.0,0.0,9.0,6.0,3.0
AL02607,7,5.0,655.0,PINCKARD,2.0,0.0,2.0,2.0,0.0
AL02608,7,5.0,763.0,ARITON,2.0,2.0,4.0,1.0,3.0
AL02609,7,5.0,506.0,CLAYHATCHEE,1.0,0.0,1.0,1.0,0.0
AL02700,8B,5.0,25420.0,DALLAS,38.0,11.0,49.0,24.0,25.0
AL02701,5,5.0,19738.0,SELMA,61.0,23.0,84.0,59.0,25.0
AL02800,8B,5.0,38595.0,DE KALB,23.0,6.0,29.0,24.0,5.0
AL02801,5,5.0,13517.0,FORT PAYNE,38.0,3.0,41.0,37.0,4.0
AL02802,7,5.0,1668.0,COLLINSVILLE,7.0,1.0,8.0,4.0,4.0
AL02803,7,5.0,816.0,GERALDINE,2.0,0.0,2.0,2.0,0.0
AL02804,6,5.0,2506.0,HENAGAR,7.0,3.0,10.0,5.0,5.0
AL02805,7,5.0,960.0,POWELL,5.0,1.0,6.0,1.0,5.0
AL02806,7,5.0,470.0,MENTONE,0.0,0.0,0.0,0.0,0.0
AL02807,6,5.0,4757.0,RAINSVILLE,14.0,1.0,15.0,11.0,4.0
AL02808,7,5.0,518.0,HAMMONDVILLE,1.0,1.0,2.0,1.0,1.0
AL02810,7,5.0,1449.0,CROSSVILLE,4.0,5.0,9.0,3.0,6.0
AL02811,7,5.0,1016.0,FYFFE,7.0,0.0,7.0,3.0,4.0
AL02812,7,5.0,1238.0,SYLVANIA,2.0,0.0,2.0,2.0,0.0
AL02813,7,5.0,640.0,VALLEY HEAD,2.0,1.0,3.0,2.0,1.0
AL02814,7,5.0,687.0,IDER,3.0,0.0,3.0,3.0,0.0
AL02900,9B,5.0,45289.0,ELMORE,53.0,18.0,71.0,30.0,41.0
AL02901,6,5.0,6660.0,WETUMPKA,25.0,10.0,35.0,27.0,8.0
AL02902,6,5.0,5019.0,TALLASSEE,16.0,9.0,25.0,18.0,7.0
AL02903,7,5.0,1092.0,ECLECTIC,5.0,5.0,10.0,6.0,4.0
AL02904,7,5.0,1455.0,COOSADA,3.0,0.0,3.0,3.0,0.0
AL02906,5,5.0,13329.0,MILLBROOK,25.0,6.0,31.0,23.0,8.0
AL03000,8C,5.0,21484.0,ESCAMBIA,28.0,18.0,46.0,23.0,23.0
AL03001,6,5.0,7618.0,ATMORE,24.0,4.0,28.0,24.0,4.0
AL03002,6,5.0,5433.0,BREWTON,19.0,3.0,22.0,16.0,6.0
AL03003,7,5.0,2459.0,EAST BREWTON,5.0,2.0,7.0,5.0,2.0
AL03004,7,5.0,1576.0,FLOMATON,11.0,6.0,17.0,11.0,6.0
AL03100,9B,5.0,31058.0,ETOWAH,55.0,21.0,76.0,59.0,17.0
AL03101,6,5.0,6434.0,ATTALLA,23.0,4.0,27.0,22.0,5.0
AL03102,4,5.0,37870.0,GADSDEN,97.0,28.0,125.0,96.0,29.0
AL03104,6,5.0,5285.0,GLENCOE,7.0,2.0,9.0,6.0,3.0
AL03105,6,5.0,8861.0,RAINBOW CITY,20.0,10.0,30.0,20.0,10.0
AL03106,6,5.0,4297.0,HOKES BLUFF,4.0,3.0,7.0,4.0,3.0
AL03107,6,5.0,7680.0,SOUTHSIDE,11.0,4.0,15.0,9.0,6.0
AL03108,7,5.0,1838.0,SARDIS CITY,3.0,1.0,4.0,4.0,0.0
AL03109,7,5.0,979.0,ALTOONA,0.0,0.0,0.0,0.0,0.0
AL03200,8C,5.0,11523.0,FAYETTE,14.0,1.0,15.0,10.0,5.0
AL03201,6,5.0,4793.0,FAYETTE,13.0,0.0,13.0,13.0,0.0
AL03202,7,5.0,1234.0,BERRY,0.0,0.0,0.0,0.0,0.0
AL03300,8C,5.0,17535.0,FRANKLIN,24.0,10.0,34.0,17.0,17.0
AL03301,6,5.0,8851.0,RUSSELLVILLE,23.0,5.0,28.0,23.0,5.0
AL03302,7,5.0,1058.0,PHIL CAMPBELL,2.0,0.0,2.0,2.0,0.0
AL03303,6,5.0,3307.0,RED BAY,8.0,3.0,11.0,7.0,4.0
AL03304,7,5.0,400.0,VINA,0.0,0.0,0.0,0.0,0.0
AL03305,7,5.0,260.0,HODGES,2.0,0.0,2.0,2.0,0.0
AL03400,9C,5.0,14943.0,GENEVA,10.0,3.0,13.0,11.0,2.0
AL03401,6,5.0,4376.0,GENEVA,12.0,4.0,16.0,11.0,5.0
AL03402,7,5.0,2030.0,SAMSON,6.0,0.0,6.0,5.0,1.0
AL03403,7,5.0,2363.0,HARTFORD,10.0,4.0,14.0,10.0,4.0
AL03404,7,5.0,2032.0,SLOCOMB,5.0,2.0,7.0,6.0,1.0
AL03405,7,5.0,252.0,COFFEE SPRINGS,0.0,0.0,0.0,0.0,0.0
AL03500,9D,5.0,7980.0,GREENE,9.0,4.0,13.0,5.0,8.0
AL03501,7,5.0,1825.0,EUTAW,8.0,6.0,14.0,9.0,5.0
AL03600,9C,5.0,13954.0,HALE,8.0,1.0,9.0,7.0,2.0
AL03601,6,5.0,2639.0,GREENSBORO,6.0,3.0,9.0,7.0,2.0
AL03602,7,5.0,2060.0,MOUNDVILLE,5.0,1.0,6.0,5.0,1.0
AL03700,9D,5.0,9538.0,HENRY,15.0,8.0,23.0,9.0,14.0
AL03701,6,5.0,3004.0,ABBEVILLE,9.0,5.0,14.0,10.0,4.0
AL03702,6,5.0,3704.0,HEADLAND,10.0,3.0,13.0,10.0,3.0
AL03703,7,5.0,547.0,NEWVILLE,2.0,0.0,2.0,2.0,0.0
AL03800,9C,5.0,24897.0,HOUSTON,53.0,26.0,79.0,51.0,28.0
AL03801,3,5.0,61661.0,DOTHAN,152.0,61.0,213.0,146.0,67.0
AL03802,7,5.0,1924.0,ASHFORD,7.0,3.0,10.0,6.0,4.0
AL03803,7,5.0,419.0,GORDON,1.0,1.0,2.0,1.0,1.0
AL03804,7,5.0,825.0,COLUMBIA,2.0,0.0,2.0,2.0,0.0
AL03805,7,5.0,1180.0,COTTONWOOD,3.0,0.0,3.0,3.0,0.0
AL03806,7,5.0,1915.0,KINSEY,2.0,1.0,3.0,2.0,1.0
AL03809,7,5.0,1948.0,TAYLOR,2.0,0.0,2.0,2.0,0.0
AL03900,8B,5.0,31554.0,JACKSON,55.0,21.0,76.0,33.0,43.0
AL03901,5,5.0,14896.0,SCOTTSBORO,48.0,15.0,63.0,44.0,19.0
AL03902,6,5.0,2691.0,BRIDGEPORT,8.0,1.0,9.0,5.0,4.0
AL03903,7,5.0,1750.0,STEVENSON,6.0,1.0,7.0,5.0,2.0
AL03904,7,5.0,938.0,HOLLYWOOD,2.0,1.0,3.0,2.0,1.0
AL03905,7,5.0,706.0,PISGAH,1.0,0.0,1.0,1.0,0.0
AL03906,7,5.0,310.0,DUTTON,0.0,0.0,0.0,0.0,0.0
AL03907,7,5.0,769.0,SECTION,3.0,0.0,3.0,2.0,1.0
AL03909,7,5.0,845.0,SKYLINE,1.0,1.0,2.0,1.0,1.0
AL04000,8D,5.0,9963.0,LAMAR,16.0,5.0,21.0,8.0,13.0
AL04001,7,5.0,2039.0,SULLIGENT,4.0,2.0,6.0,6.0,0.0
AL04002,7,5.0,1993.0,VERNON,7.0,1.0,8.0,8.0,0.0
AL04003,7,5.0,513.0,KENNEDY,1.0,0.0,1.0,1.0,0.0
AL04004,7,5.0,1071.0,MILLPORT,2.0,0.0,2.0,2.0,0.0
AL04100,9B,5.0,48016.0,LAUDERDALE,29.0,13.0,42.0,31.0,11.0
AL04101,4,5.0,36479.0,FLORENCE,111.0,8.0,119.0,95.0,24.0
AL04102,7,5.0,208.0,WATERLOO,1.0,1.0,2.0,1.0,1.0
AL04103,7,5.0,350.0,ANDERSON,2.0,0.0,2.0,2.0,0.0
AL04104,7,5.0,409.0,ST. FLORIAN,1.0,0.0,1.0,1.0,0.0
AL04105,7,5.0,833.0,LEXINGTON,3.0,1.0,4.0,3.0,1.0
AL04106,7,5.0,1190.0,ROGERSVILLE,2.0,3.0,5.0,2.0,3.0
AL04107,7,5.0,1122.0,KILLEN,5.0,0.0,5.0,5.0,0.0
AL04108,7,5.0,0.0,UNIV OF NORTH ALABAMA,10.0,2.0,12.0,11.0,1.0
AL04200,9B,5.0,28006.0,LAWRENCE,33.0,8.0,41.0,21.0,20.0
AL04201,6,5.0,3269.0,MOULTON,12.0,0.0,12.0,12.0,0.0
AL04202,7,5.0,1205.0,TOWN CREEK,4.0,0.0,4.0,4.0,0.0
AL04203,7,5.0,763.0,COURTLAND,4.0,0.0,4.0,4.0,0.0
AL04204,7,5.0,589.0,HILLSBORO,1.0,0.0,1.0,1.0,0.0
AL04205,7,5.0,796.0,NORTH COURTLAND,0.0,0.0,0.0,0.0,0.0
AL04300,9B,5.0,46929.0,LEE,83.0,40.0,123.0,61.0,62.0
AL04301,4,5.0,48643.0,AUBURN,92.0,6.0,98.0,93.0,5.0
AL04302,5,5.0,23626.0,OPELIKA,85.0,21.0,106.0,80.0,26.0
AL04303,7,5.0,0.0,AUBURN UNIV: MAIN CAMPUS,27.0,15.0,42.0,20.0,22.0
AL04400,9B,5.0,47009.0,LIMESTONE,65.0,28.0,93.0,36.0,57.0
AL04401,5,5.0,20440.0,ATHENS,42.0,13.0,55.0,43.0,12.0
AL04402,7,5.0,1094.0,ARDMORE,8.0,3.0,11.0,7.0,4.0
AL04403,7,5.0,487.0,ELKMONT,1.0,1.0,2.0,1.0,1.0
AL04500,9C,5.0,11046.0,LOWNDES,8.0,29.0,37.0,9.0,28.0
AL04501,7,5.0,1248.0,FORT DEPOSIT,6.0,0.0,6.0,6.0,0.0
AL04502,7,5.0,1153.0,HAYNEVILLE,3.0,0.0,3.0,3.0,0.0
AL04504,7,5.0,1092.0,MOSSES,3.0,0.0,3.0,3.0,0.0
AL04507,7,5.0,0.0,2ND JUD CIRCUIT DRUG T F,0.0,0.0,0.0,0.0,0.0
AL04600,8C,5.0,10326.0,MACON,22.0,11.0,33.0,18.0,15.0
AL04601,5,5.0,11813.0,TUSKEGEE,35.0,12.0,47.0,32.0,15.0
AL04602,7,5.0,872.0,NOTASULGA,3.0,4.0,7.0,3.0,4.0
AL04606,7,5.0,336.0,SHORTER,5.0,4.0,9.0,5.0,4.0
AL04700,9B,5.0,90240.0,MADISON,201.0,72.0,273.0,106.0,167.0
AL04701,2,5.0,165147.0,HUNTSVILLE,370.0,99.0,469.0,365.0,104.0
AL04702,4,5.0,35226.0,MADISON,53.0,22.0,75.0,54.0,21.0
AL04703,7,5.0,876.0,GURLEY,4.0,0.0,4.0,4.0,0.0
AL04704,6,5.0,2737.0,NEW HOPE,5.0,0.0,5.0,5.0,0.0
AL04705,7,5.0,1262.0,OWENS CROSSROADS,3.0,0.0,3.0,3.0,0.0
AL04706,7,5.0,478.0,TRIANA,1.0,1.0,2.0,1.0,1.0
AL04707,7,5.0,0.0,UNIV OF AL: HUNTSVILLE,13.0,3.0,16.0,12.0,4.0
AL04708,7,5.0,0.0,ALABAMA A&M UNIVERSITY,16.0,7.0,23.0,13.0,10.0
AL04709,7,5.0,0.0,HUNTSVILLE INTNL AIRPORT,15.0,3.0,18.0,13.0,5.0
AL04711,7,5.0,0.0,MADISON-MORGAN CO S CD T,2.0,1.0,3.0,2.0,1.0
AL04800,8C,5.0,11992.0,MARENGO,29.0,0.0,29.0,12.0,17.0
AL04801,6,5.0,7346.0,DEMOPOLIS,20.0,3.0,23.0,20.0,3.0
AL04802,7,5.0,2364.0,LINDEN,7.0,0.0,7.0,7.0,0.0
AL04803,7,5.0,380.0,THOMASTON,1.0,0.0,1.0,1.0,0.0
AL04804,7,5.0,87.0,FAUNSDALE,0.0,0.0,0.0,0.0,0.0
AL04805,7,5.0,137.0,MYRTLEWOOD,0.0,0.0,0.0,0.0,0.0
AL04900,8C,5.0,14493.0,MARION,14.0,5.0,19.0,9.0,10.0
