ori,group,year,pop,agency_name,m_emp,f_emp,emp,sworn,civil
ALAST00,8D,5.0,0.0,ALABAMA HIGHWAY PATROL,936.0,429.0,1365.0,739.0,626.0
AL00100,9A,5.0,148099.0,JEFFERSON,487.0,168.0,655.0,523.0,132.0
AL00101,4,5.0,28902.0,BESSEMER,110.0,31.0,141.0,120.0,21.0
AL00102,2,5.0,234571.0,BIRMINGHAM,745.0,350.0,1095.0,813.0,282.0
AL00103,5,5.0,20874.0,MOUNTAIN BROOK,50.0,12.0,62.0,49.0,13.0
AL00104,5,5.0,11938.0,FAIRFIELD,33.0,9.0,42.0,30.0,12.0
AL00105,5,5.0,12608.0,GARDENDALE,31.0,4.0,35.0,26.0,9.0
AL00106,5,5.0,11087.0,LEEDS,17.0,9.0,26.0,21.0,5.0
AL00107,6,5.0,5435.0,MIDFIELD,16.0,5.0,21.0,16.0,5.0
AL00108,6,5.0,6833.0,TARRANT CITY,22.0,6.0,28.0,22.0,6.0
AL00109,4,5.0,31201.0,VESTAVIA HILLS,67.0,3.0,70.0,68.0,2.0
AL00110,5,5.0,24407.0,HOMEWOOD,82.0,19.0,101.0,71.0,30.0
AL00111,6,5.0,6854.0,FULTONDALE,20.0,3.0,23.0,17.0,6.0
AL00112,3,5.0,66751.0,HOOVER,160.0,45.0,205.0,146.0,59.0
AL00113,6,5.0,9712.0,IRONDALE,34.0,4.0,38.0,31.0,7.0
AL00114,5,5.0,10440.0,PLEASANT GROVE,20.0,3.0,23.0,18.0,5.0
AL00115,7,5.0,0.0,ROOSEVELT CITY,0.0,0.0,0.0,0.0,0.0
AL00116,7,5.0,2344.0,GRAYSVILLE,8.0,3.0,11.0,6.0,5.0
AL00117,7,5.0,0.0,BROWNSVILLE,0.0,0.0,0.0,0.0,0.0
AL00118,6,5.0,3488.0,BRIGHTON,9.0,2.0,11.0,8.0,3.0
AL00119,5,5.0,15406.0,HUEYTOWN,26.0,5.0,31.0,25.0,6.0
AL00120,7,5.0,2368.0,LIPSCOMB,6.0,3.0,9.0,5.0,4.0
AL00121,5,5.0,15840.0,TRUSSVILLE,27.0,6.0,33.0,26.0,7.0
AL00122,6,5.0,4929.0,ADAMSVILLE,20.0,10.0,30.0,18.0,12.0
AL00123,6,5.0,3057.0,WARRIOR,16.0,3.0,19.0,14.0,5.0
AL00124,7,5.0,0.0,UNIV OF AL: BIRMINGHAM,93.0,51.0,144.0,68.0,76.0
AL00125,7,5.0,506.0,TRAFFORD,1.0,0.0,1.0,1.0,0.0
AL00126,7,5.0,1881.0,MORRIS,6.0,1.0,7.0,6.0,1.0
AL00127,7,5.0,1381.0,BROOKSIDE,4.0,0.0,4.0,4.0,0.0
AL00128,7,5.0,80.0,CARDIFF,0.0,0.0,0.0,0.0,0.0
AL00129,7,5.0,2288.0,KIMBERLY,4.0,1.0,5.0,4.0,1.0
AL00130,7,5.0,264.0,COUNTY LINE,0.0,0.0,0.0,0.0,0.0
AL00200,9B,5.0,89747.0,MOBILE,238.0,230.0,468.0,144.0,324.0
AL00201,2,5.0,249798.0,MOBILE,506.0,165.0,671.0,519.0,152.0
AL00202,4,5.0,27790.0,PRICHARD,72.0,39.0,111.0,81.0,30.0
AL00203,6,5.0,6100.0,CHICKASAW,19.0,4.0,23.0,19.0,4.0
AL00204,6,5.0,3723.0,CITRONELLE,8.0,3.0,11.0,7.0,4.0
AL00205,5,5.0,12680.0,SARALAND,36.0,9.0,45.0,35.0,10.0
AL00206,6,5.0,2758.0,BAYOU LA BATRE,13.0,5.0,18.0,13.0,5.0
AL00207,6,5.0,5966.0,SATSUMA,12.0,6.0,18.0,14.0,4.0
AL00208,7,5.0,829.0,MOUNT VERNON,8.0,1.0,9.0,8.0,1.0
AL00209,7,5.0,0.0,WILMER,0.0,0.0,0.0,0.0,0.0
AL00212,7,5.0,2065.0,CREOLA,7.0,4.0,11.0,7.0,4.0
AL00214,7,5.0,0.0,UNIV OF SOUTH ALABAMA,36.0,9.0,45.0,29.0,16.0
AL00215,7,5.0,1512.0,DAUPHIN ISLAND,9.0,4.0,13.0,9.0,4.0
AL003FA,7,5.0,0.0,FAULKNER UNIVERSITY,13.0,2.0,15.0,15.0,0.0
AL00300,9C,5.0,21707.0,MONTGOMERY,106.0,43.0,149.0,112.0,37.0
AL00301,2,5.0,202209.0,MONTGOMERY,449.0,169.0,618.0,463.0,155.0
AL00303,9E,5.0,0.0,AL CONSER DPT MARINE POL,0.0,0.0,0.0,0.0,0.0
AL00304,9D,5.0,0.0,AL ALC BEV CONTROL BOARD,92.0,23.0,115.0,95.0,20.0
AL00305,9D,5.0,0.0,AL DEPT OF MENTAL HEALTH,3.0,1.0,4.0,3.0,1.0
AL00306,7,5.0,0.0,ALABAMA STATE UNIVERSITY,26.0,7.0,33.0,20.0,13.0
AL00307,7,5.0,0.0,"AUBURN UNIV, MONTGOMERY",13.0,8.0,21.0,13.0,8.0
AL00308,9D,5.0,0.0,AL PUB SERV COMM ENF DIV,6.0,0.0,6.0,6.0,0.0
AL00313,9D,5.0,0.0,STATE CAPITOL POLICE,23.0,6.0,29.0,22.0,7.0
AL00319,7,5.0,0.0,CITY MNTGMRY HUSNG AU IU,4.0,1.0,5.0,4.0,1.0
AL00322,7,5.0,0.0,BAPTIST MEDICAL CENTER,0.0,0.0,0.0,0.0,0.0
AL00400,9C,5.0,20388.0,AUTAUGA,46.0,13.0,59.0,22.0,37.0
AL00401,4,5.0,27668.0,PRATTVILLE,75.0,11.0,86.0,77.0,9.0
AL00402,7,5.0,861.0,AUTAUGAVILLE,2.0,0.0,2.0,2.0,0.0
AL00500,8B,5.0,81810.0,BALDWIN,152.0,63.0,215.0,74.0,141.0
AL00501,6,5.0,7867.0,BAY MINETTE,22.0,9.0,31.0,23.0,8.0
AL00502,5,5.0,14691.0,FAIRHOPE,35.0,6.0,41.0,28.0,13.0
AL00503,5,5.0,10485.0,FOLEY,35.0,13.0,48.0,35.0,13.0
AL00504,6,5.0,6333.0,GULF SHORES,37.0,5.0,42.0,31.0,11.0
AL00505,6,5.0,4523.0,ROBERTSDALE,13.0,6.0,19.0,10.0,9.0
AL00506,7,5.0,1413.0,LOXLEY,8.0,5.0,13.0,7.0,6.0
AL00507,7,5.0,690.0,SILVERHILL,4.0,0.0,4.0,3.0,1.0
AL00508,5,5.0,18225.0,DAPHNE,48.0,21.0,69.0,40.0,29.0
AL00509,7,5.0,674.0,SUMMERDALE,5.0,1.0,6.0,5.0,1.0
AL00510,7,5.0,580.0,ELBERTA,5.0,2.0,7.0,6.0,1.0
AL00512,6,5.0,4721.0,ORANGE BEACH,45.0,11.0,56.0,36.0,20.0
AL00513,6,5.0,5645.0,SPANISH FORT,12.0,1.0,13.0,12.0,1.0
AL00600,8C,5.0,10566.0,BARBOUR,21.0,10.0,31.0,14.0,17.0
AL00601,5,5.0,13603.0,EUFAULA,30.0,18.0,48.0,32.0,16.0
AL00602,7,5.0,1419.0,CLAYTON,4.0,0.0,4.0,4.0,0.0
AL00603,7,5.0,2233.0,CLIO,4.0,0.0,4.0,4.0,0.0
AL00604,7,5.0,586.0,LOUISVILLE,4.0,0.0,4.0,4.0,0.0
AL00607,7,5.0,324.0,BAKER HILL,0.0,0.0,0.0,0.0,0.0
AL00700,9C,5.0,12477.0,BIBB,11.0,1.0,12.0,11.0,1.0
AL00701,7,5.0,2494.0,CENTREVILLE,4.0,0.0,4.0,4.0,0.0
AL00702,6,5.0,4116.0,BRENT,5.0,0.0,5.0,5.0,0.0
AL00703,7,5.0,1410.0,WEST BLOCTON,1.0,0.0,1.0,1.0,0.0
AL00704,7,5.0,913.0,WOODSTOCK,3.0,1.0,4.0,4.0,0.0
AL00800,9B,5.0,44429.0,BLOUNT,51.0,18.0,69.0,42.0,27.0
AL00801,6,5.0,6353.0,ONEONTA,16.0,3.0,19.0,18.0,1.0
AL00802,7,5.0,1914.0,BLOUNTSVILLE,8.0,0.0,8.0,8.0,0.0
AL00803,7,5.0,1352.0,CLEVELAND,2.0,0.0,2.0,2.0,0.0
AL00804,7,5.0,811.0,SNEAD,4.0,0.0,4.0,4.0,0.0
AL00805,7,5.0,464.0,HIGHLAND LAKE,0.0,0.0,0.0,0.0,0.0
AL00900,8D,5.0,7774.0,BULLOCK,5.0,4.0,9.0,4.0,5.0
AL00901,6,5.0,3523.0,UNION SPRINGS,12.0,5.0,17.0,10.0,7.0
AL01000,8C,5.0,11499.0,BUTLER,11.0,6.0,17.0,7.0,10.0
AL01001,6,5.0,7121.0,GREENVILLE,35.0,8.0,43.0,34.0,9.0
AL01002,7,5.0,1648.0,GEORGIANA,2.0,0.0,2.0,2.0,0.0
