ori,group,year,pop,agency_name,m_emp,f_emp,emp,sworn,civil
KSDI051,7,4.0,146.0,IOWA TRIBAL,0.0,0.0,0.0,0.0,0.0
KSKBI00,9D,4.0,0.0,KS BUR OF INVESTIGATION,119.0,105.0,224.0,77.0,147.0
KSKHP00,8D,4.0,0.0,KANSAS HIGHWAY PATROL,626.0,194.0,820.0,535.0,285.0
KSKPAQ0,7,4.0,0.0,KS DPT OF W & PKS-TOPEKA,149.0,5.0,154.0,153.0,1.0
KS00100,8D,4.0,4731.0,ALLEN,12.0,9.0,21.0,7.0,14.0
KS00101,7,4.0,1934.0,HUMBOLDT,3.0,0.0,3.0,3.0,0.0
KS00102,6,4.0,6060.0,IOLA,15.0,10.0,25.0,15.0,10.0
KS00103,7,4.0,552.0,MORAN,1.0,0.0,1.0,1.0,0.0
KS00104,7,4.0,691.0,LA HARPE,1.0,0.0,1.0,1.0,0.0
KS00200,8D,4.0,4263.0,ANDERSON,9.0,2.0,11.0,10.0,1.0
KS00201,6,4.0,3403.0,GARNETT,9.0,4.0,13.0,9.0,4.0
KS00202,7,4.0,397.0,COLONY,0.0,0.0,0.0,0.0,0.0
KS00203,7,4.0,334.0,GREELEY,0.0,0.0,0.0,0.0,0.0
KS00204,7,4.0,181.0,KINCAID,0.0,0.0,0.0,0.0,0.0
KS00300,8D,4.0,6659.0,ATCHISON,17.0,10.0,27.0,9.0,18.0
KS00301,5,4.0,10156.0,ATCHISON,23.0,1.0,24.0,23.0,1.0
KS00400,8D,4.0,1987.0,BARBER,4.0,4.0,8.0,3.0,5.0
KS00401,7,4.0,993.0,KIOWA,2.0,0.0,2.0,2.0,0.0
KS00402,7,4.0,2076.0,MEDICINE LODGE,5.0,0.0,5.0,5.0,0.0
KS00500,8D,4.0,6507.0,BARTON,31.0,6.0,37.0,18.0,19.0
KS00501,7,4.0,2091.0,ELLINWOOD,4.0,1.0,5.0,5.0,0.0
KS00502,5,4.0,14993.0,GREAT BEND,29.0,5.0,34.0,30.0,4.0
KS00503,6,4.0,2966.0,HOISINGTON,9.0,0.0,9.0,7.0,2.0
KS00504,7,4.0,685.0,CLAFLIN,2.0,0.0,2.0,2.0,0.0
KS00505,7,4.0,346.0,PAWNEE ROCK,1.0,0.0,1.0,1.0,0.0
KS00600,8D,4.0,7051.0,BOURBON,6.0,2.0,8.0,6.0,2.0
KS00601,6,4.0,8101.0,FORT SCOTT,17.0,6.0,23.0,15.0,8.0
KS00700,8D,4.0,664.0,BROWN,11.0,9.0,20.0,8.0,12.0
KS00701,6,4.0,3346.0,HIAWATHA,3.0,2.0,5.0,4.0,1.0
KS00702,7,4.0,1891.0,HORTON,4.0,5.0,9.0,5.0,4.0
KS00800,9B,4.0,25334.0,BUTLER,45.0,6.0,51.0,47.0,4.0
KS00801,6,4.0,8523.0,AUGUSTA,28.0,4.0,32.0,24.0,8.0
KS00802,5,4.0,12742.0,EL DORADO,24.0,3.0,27.0,25.0,2.0
KS00803,7,4.0,1805.0,DOUGLASS,3.0,2.0,5.0,4.0,1.0
KS00804,7,4.0,1344.0,TOWANDA,3.0,0.0,3.0,3.0,0.0
KS00805,6,4.0,8258.0,ANDOVER,16.0,4.0,20.0,14.0,6.0
KS00806,6,4.0,3726.0,ROSE HILL,8.0,1.0,9.0,8.0,1.0
KS00807,7,4.0,649.0,LEON,1.0,0.0,1.0,1.0,0.0
KS00808,7,4.0,820.0,BENTON,0.0,0.0,0.0,0.0,0.0
KS00900,8D,4.0,3121.0,CHASE,5.0,4.0,9.0,5.0,4.0
KS01000,8D,4.0,2217.0,CHAUTAUQUA,4.0,5.0,9.0,4.0,5.0
KS01001,7,4.0,1294.0,SEDAN,3.0,0.0,3.0,3.0,0.0
KS01002,7,4.0,692.0,CEDAR VALE,1.0,0.0,1.0,1.0,0.0
KS01100,8C,4.0,10295.0,CHEROKEE,27.0,10.0,37.0,19.0,18.0
KS01101,6,4.0,3300.0,COLUMBUS,8.0,2.0,10.0,8.0,2.0
KS01102,6,4.0,3182.0,GALENA,10.0,2.0,12.0,7.0,5.0
KS01103,6,4.0,4363.0,BAXTER SPRINGS,12.0,1.0,13.0,9.0,4.0
KS01104,7,4.0,771.0,WEIR,2.0,0.0,2.0,2.0,0.0
KS01200,8D,4.0,1572.0,CHEYENNE,2.0,0.0,2.0,2.0,0.0
KS01201,7,4.0,1396.0,ST. FRANCIS,4.0,1.0,5.0,4.0,1.0
KS01202,7,4.0,446.0,BIRD CITY,0.0,0.0,0.0,0.0,0.0
KS01300,8D,4.0,2343.0,CLARK,4.0,5.0,9.0,4.0,5.0
KS01400,8D,4.0,3329.0,CLAY,12.0,5.0,17.0,6.0,11.0
KS01401,6,4.0,4424.0,CLAY CENTER,6.0,1.0,7.0,6.0,1.0
KS01402,7,4.0,858.0,WAKEFIELD,1.0,0.0,1.0,1.0,0.0
KS01403,7,4.0,522.0,CLIFTON,1.0,0.0,1.0,1.0,0.0
KS01500,8D,4.0,4419.0,CLOUD,13.0,4.0,17.0,11.0,6.0
KS01501,6,4.0,5483.0,CONCORDIA,10.0,5.0,15.0,9.0,6.0
KS01502,7,4.0,724.0,CLYDE,1.0,0.0,1.0,1.0,0.0
KS01506,7,4.0,493.0,MILTONVALE,0.0,0.0,0.0,0.0,0.0
KS01600,8D,4.0,3943.0,COFFEY,19.0,9.0,28.0,13.0,15.0
KS01601,6,4.0,2776.0,BURLINGTON,6.0,2.0,8.0,6.0,2.0
KS01603,7,4.0,970.0,LEBO,1.0,0.0,1.0,1.0,0.0
KS01604,7,4.0,576.0,WAVERLY,1.0,0.0,1.0,1.0,0.0
KS01605,7,4.0,589.0,LE ROY,1.0,0.0,1.0,1.0,0.0
KS01700,8D,4.0,1381.0,COMANCHE,3.0,0.0,3.0,3.0,0.0
KS01701,7,4.0,774.0,COLDWATER,1.0,0.0,1.0,1.0,0.0
KS01702,7,4.0,542.0,PROTECTION,0.0,0.0,0.0,0.0,0.0
KS01800,8C,4.0,10758.0,COWLEY,31.0,9.0,40.0,18.0,22.0
KS01801,5,4.0,11840.0,ARKANSAS CITY,24.0,9.0,33.0,25.0,8.0
KS01802,5,4.0,12069.0,WINFIELD,23.0,4.0,27.0,20.0,7.0
KS01803,7,4.0,559.0,BURDEN,1.0,0.0,1.0,1.0,0.0
KS01804,7,4.0,792.0,UDALL,2.0,1.0,3.0,3.0,0.0
KS01900,8C,4.0,10130.0,CRAWFORD,43.0,23.0,66.0,29.0,37.0
KS01901,5,4.0,19361.0,PITTSBURG,35.0,16.0,51.0,37.0,14.0
KS01902,7,4.0,1515.0,ARMA,3.0,1.0,4.0,4.0,0.0
KS01903,6,4.0,2746.0,GIRARD,7.0,0.0,7.0,7.0,0.0
KS01904,6,4.0,3117.0,FRONTENAC,7.0,2.0,9.0,6.0,3.0
KS01905,7,4.0,726.0,CHEROKEE,1.0,0.0,1.0,1.0,0.0
KS01906,7,4.0,428.0,MCCUNE,0.0,0.0,0.0,0.0,0.0
KS01907,7,4.0,0.0,PITTSBURG STATE UNIV,12.0,3.0,15.0,12.0,3.0
KS01908,7,4.0,389.0,ARCADIA,2.0,0.0,2.0,2.0,0.0
KS01909,7,4.0,583.0,MULBERRY,2.0,0.0,2.0,2.0,0.0
KS02000,8D,4.0,1418.0,DECATUR,2.0,0.0,2.0,2.0,0.0
KS02001,7,4.0,1892.0,OBERLIN,3.0,0.0,3.0,3.0,0.0
KS02100,8D,4.0,7899.0,DICKINSON,21.0,5.0,26.0,14.0,12.0
KS02101,6,4.0,6484.0,ABILENE,12.0,4.0,16.0,14.0,2.0
KS02102,6,4.0,2503.0,HERINGTON,11.0,0.0,11.0,6.0,5.0
KS02103,7,4.0,1258.0,CHAPMAN,3.0,0.0,3.0,3.0,0.0
KS02104,7,4.0,827.0,ENTERPRISE,1.0,0.0,1.0,1.0,0.0
KS02105,7,4.0,1068.0,SOLOMON,1.0,0.0,1.0,1.0,0.0
KS02106,7,4.0,369.0,HOPE,1.0,0.0,1.0,1.0,0.0
KS02200,9D,4.0,3667.0,DONIPHAN,6.0,4.0,10.0,4.0,6.0
KS02201,7,4.0,1174.0,ELWOOD,3.0,0.0,3.0,3.0,0.0
KS02202,7,4.0,1037.0,TROY,1.0,0.0,1.0,1.0,0.0
KS02203,7,4.0,1337.0,WATHENA,0.0,0.0,0.0,0.0,0.0
KS02204,7,4.0,970.0,HIGHLAND,3.0,0.0,3.0,3.0,0.0
KS02300,9C,4.0,12317.0,DOUGLAS,85.0,35.0,120.0,74.0,46.0
KS02301,3,4.0,82482.0,LAWRENCE,140.0,31.0,171.0,140.0,31.0
KS02302,7,4.0,0.0,UNIV OF KS: MAIN CAMPUS,38.0,9.0,47.0,29.0,18.0
KS02303,6,4.0,3653.0,BALDWIN CITY,4.0,3.0,7.0,6.0,1.0
KS02304,6,4.0,4985.0,EUDORA,8.0,1.0,9.0,8.0,1.0
KS02400,8D,4.0,1258.0,EDWARDS,5.0,3.0,8.0,4.0,4.0
KS02401,7,4.0,1558.0,KINSLEY,4.0,0.0,4.0,4.0,0.0
KS02402,7,4.0,473.0,LEWIS,0.0,0.0,0.0,0.0,0.0
KS02500,8D,4.0,3181.0,ELK,3.0,4.0,7.0,3.0,4.0
KS02600,8D,4.0,4308.0,ELLIS,21.0,5.0,26.0,16.0,10.0
KS02601,5,4.0,20003.0,HAYS,29.0,15.0,44.0,29.0,15.0
KS02602,7,4.0,1835.0,ELLIS,3.0,0.0,3.0,3.0,0.0
KS02603,7,4.0,1186.0,VICTORIA,2.0,0.0,2.0,2.0,0.0
KS02604,7,4.0,0.0,FORT HAYS STATE UNIVERSI,11.0,2.0,13.0,9.0,4.0
KS02700,8D,4.0,1730.0,ELLSWORTH,13.0,2.0,15.0,7.0,8.0
KS02701,6,4.0,2900.0,ELLSWORTH,6.0,1.0,7.0,6.0,1.0
KS02702,7,4.0,768.0,WILSON,1.0,0.0,1.0,1.0,0.0
KS02703,7,4.0,526.0,KANOPOLIS,1.0,0.0,1.0,1.0,0.0
KS02704,7,4.0,451.0,HOLYROOD,1.0,0.0,1.0,1.0,0.0
KS02800,8C,4.0,10068.0,FINNEY,66.0,27.0,93.0,42.0,51.0
KS02801,4,4.0,27336.0,GARDEN CITY,52.0,29.0,81.0,54.0,27.0
KS02802,7,4.0,1945.0,HOLCOMB,3.0,0.0,3.0,3.0,0.0
KS02803,7,4.0,0.0,GARDEN CITY COMM COLLEGE,2.0,0.0,2.0,2.0,0.0
KS02900,8D,4.0,5907.0,FORD,40.0,12.0,52.0,24.0,28.0
KS02901,4,4.0,25681.0,DODGE CITY,46.0,17.0,63.0,48.0,15.0
KS02902,7,4.0,722.0,BUCKLIN,0.0,0.0,0.0,0.0,0.0
KS02903,7,4.0,847.0,SPEARVILLE,1.0,0.0,1.0,1.0,0.0
KS03000,9C,4.0,11446.0,FRANKLIN,30.0,18.0,48.0,25.0,23.0
KS03001,5,4.0,12084.0,OTTAWA,26.0,7.0,33.0,26.0,7.0
KS03002,7,4.0,1602.0,WELLSVILLE,3.0,0.0,3.0,3.0,0.0
KS03004,7,4.0,956.0,POMONA,1.0,0.0,1.0,1.0,0.0
KS03006,7,4.0,520.0,RICHMOND,1.0,0.0,1.0,1.0,0.0
KS03007,7,4.0,0.0,FRANKLIN CNTY DRUG ENFOR,0.0,0.0,0.0,0.0,0.0
KS03100,8D,4.0,7530.0,GEARY,34.0,23.0,57.0,23.0,34.0
KS03101,5,4.0,17745.0,JUNCTION CITY,39.0,23.0,62.0,42.0,20.0
KS03102,7,4.0,1154.0,GRANDVIEW PLAZA,3.0,1.0,4.0,4.0,0.0
KS03200,8D,4.0,2018.0,GOVE,4.0,0.0,4.0,4.0,0.0
KS03201,7,4.0,905.0,QUINTER,1.0,0.0,1.0,1.0,0.0
KS03300,8D,4.0,1302.0,GRAHAM,2.0,1.0,3.0,3.0,0.0
KS03301,7,4.0,1518.0,HILL CITY,4.0,0.0,4.0,4.0,0.0
KS03400,8D,4.0,1963.0,GRANT,9.0,6.0,15.0,7.0,8.0
KS03401,6,4.0,5816.0,ULYSSES,11.0,0.0,11.0,10.0,1.0
KS03500,8D,4.0,4045.0,GRAY,6.0,6.0,12.0,6.0,6.0
KS03501,7,4.0,2045.0,CIMARRON,3.0,0.0,3.0,3.0,0.0
KS03502,7,4.0,213.0,ENSIGN,1.0,0.0,1.0,1.0,0.0
KS03600,8D,4.0,1426.0,GREELEY,2.0,4.0,6.0,3.0,3.0
KS03601,7,4.0,768.0,TRIBUNE,0.0,0.0,0.0,0.0,0.0
KS03700,8D,4.0,7518.0,GREENWOOD,16.0,6.0,22.0,13.0,9.0
KS03701,6,4.0,2828.0,EUREKA,5.0,0.0,5.0,5.0,0.0
KS03702,7,4.0,826.0,MADISON,1.0,0.0,1.0,1.0,0.0
KS03800,8D,4.0,2678.0,HAMILTON,8.0,4.0,12.0,6.0,6.0
KS03900,8D,4.0,1798.0,HARPER,8.0,6.0,14.0,5.0,9.0
KS03901,7,4.0,2318.0,ANTHONY,5.0,0.0,5.0,5.0,0.0
KS03902,7,4.0,612.0,ATTICA,1.0,0.0,1.0,1.0,0.0
KS03903,7,4.0,1505.0,HARPER,3.0,0.0,3.0,3.0,0.0
KS04000,9D,4.0,5860.0,HARVEY,25.0,10.0,35.0,16.0,19.0
KS04001,5,4.0,18056.0,NEWTON,28.0,5.0,33.0,29.0,4.0
KS04002,6,4.0,3630.0,HESSTON,6.0,1.0,7.0,6.0,1.0
KS04003,7,4.0,1896.0,HALSTEAD,5.0,1.0,6.0,5.0,1.0
KS04004,7,4.0,1644.0,SEDGWICK,2.0,0.0,2.0,2.0,0.0
KS04005,7,4.0,925.0,BURRTON,1.0,0.0,1.0,1.0,0.0
KS04006,7,4.0,1570.0,NORTH NEWTON,2.0,0.0,2.0,2.0,0.0
KS04007,7,4.0,299.0,WALTON,0.0,0.0,0.0,0.0,0.0
KS04100,8D,4.0,4265.0,HASKELL,13.0,5.0,18.0,13.0,5.0
KS04101,7,4.0,1583.0,SUBLETTE,2.0,0.0,2.0,2.0,0.0
KS04102,7,4.0,1202.0,SATANTA,1.0,0.0,1.0,1.0,0.0
KS04200,8D,4.0,2160.0,HODGEMAN,4.0,5.0,9.0,4.0,5.0
KS04300,9D,4.0,7331.0,JACKSON,28.0,12.0,40.0,18.0,22.0
KS04301,6,4.0,3356.0,HOLTON,9.0,2.0,11.0,7.0,4.0
KS04302,7,4.0,586.0,HOYT,0.0,0.0,0.0,0.0,0.0
KS04303,7,4.0,226.0,DENISON,0.0,0.0,0.0,0.0,0.0
KS04304,7,4.0,337.0,MAYETTA,0.0,0.0,0.0,0.0,0.0
KS04400,9C,4.0,12852.0,JEFFERSON,29.0,10.0,39.0,22.0,17.0
KS04401,7,4.0,0.0,PERRY STATE PARK,0.0,0.0,0.0,0.0,0.0
KS04402,7,4.0,1222.0,VALLEY FALLS,1.0,1.0,2.0,2.0,0.0
KS04403,7,4.0,694.0,MERIDEN,0.0,0.0,0.0,0.0,0.0
KS04404,7,4.0,859.0,MCLOUTH,1.0,0.0,1.0,1.0,0.0
KS04405,7,4.0,608.0,NORTONVILLE,1.0,0.0,1.0,1.0,0.0
KS04406,7,4.0,1162.0,OSKALOOSA,1.0,0.0,1.0,1.0,0.0
KS04407,7,4.0,582.0,WINCHESTER,0.0,0.0,0.0,0.0,0.0
KS04408,7,4.0,902.0,PERRY,1.0,0.0,1.0,1.0,0.0
KS04409,7,4.0,564.0,OZAWKIE,0.0,0.0,0.0,0.0,0.0
KS04500,8D,4.0,3448.0,JEWELL,4.0,4.0,8.0,4.0,4.0
KS04600,9C,4.0,21676.0,JOHNSON,397.0,130.0,527.0,431.0,96.0
KS04601,6,4.0,3903.0,FAIRWAY,8.0,2.0,10.0,9.0,1.0
KS04602,4,4.0,29015.0,LEAWOOD,58.0,19.0,77.0,56.0,21.0
KS04603,5,4.0,10883.0,MERRIAM,26.0,4.0,30.0,26.0,4.0
KS04604,6,4.0,9601.0,MISSION,24.0,3.0,27.0,26.0,1.0
KS04605,2,4.0,105738.0,OLATHE,143.0,50.0,193.0,150.0,43.0
KS04606,2,4.0,161074.0,OVERLAND PARK,196.0,74.0,270.0,223.0,47.0
KS04607,5,4.0,21825.0,PRAIRIE VILLAGE,43.0,14.0,57.0,45.0,12.0
KS04608,6,4.0,7106.0,ROELAND PARK,11.0,6.0,17.0,15.0,2.0
KS04609,3,4.0,54331.0,SHAWNEE,87.0,22.0,109.0,88.0,21.0
KS04610,4,4.0,42180.0,LENEXA,96.0,25.0,121.0,82.0,39.0
KS04611,7,4.0,2045.0,WESTWOOD,6.0,2.0,8.0,7.0,1.0
KS04612,5,4.0,11721.0,GARDNER,24.0,4.0,28.0,27.0,1.0
KS04613,6,4.0,3568.0,MISSION HILLS,0.0,0.0,0.0,0.0,0.0
KS04617,6,4.0,3761.0,SPRING HILL,6.0,3.0,9.0,8.0,1.0
KS04619,7,4.0,1554.0,EDGERTON,3.0,0.0,3.0,3.0,0.0
KS04620,9D,4.0,0.0,JOHNSON COUNTY PARK,14.0,2.0,16.0,15.0,1.0
KS04622,7,4.0,163.0,MISSION WOODS,6.0,2.0,8.0,7.0,1.0
KS04623,7,4.0,371.0,WESTWOOD HILLS,6.0,2.0,8.0,7.0,1.0
KS04624,7,4.0,927.0,LAKE QUIVIRA,2.0,1.0,3.0,3.0,0.0
KS04625,7,4.0,0.0,SHAWNEE MISSION PUB SCHS,10.0,0.0,10.0,10.0,0.0
KS04626,7,4.0,0.0,BLUE VALLEY SCHOOL DIST,6.0,1.0,7.0,6.0,1.0
KS04700,8D,4.0,4611.0,KEARNY,13.0,6.0,19.0,10.0,9.0
KS04800,8D,4.0,4598.0,KINGMAN,8.0,8.0,16.0,7.0,9.0
KS04801,6,4.0,3284.0,KINGMAN,6.0,1.0,7.0,7.0,0.0
KS04803,7,4.0,537.0,NORWICH,1.0,0.0,1.0,1.0,0.0
KS04900,8D,4.0,3166.0,KIOWA,9.0,7.0,16.0,16.0,0.0
KS05000,8D,4.0,6697.0,LABETTE,22.0,8.0,30.0,18.0,12.0
KS05001,5,4.0,11346.0,PARSONS,23.0,3.0,26.0,20.0,6.0
KS05002,7,4.0,1998.0,OSWEGO,5.0,1.0,6.0,5.0,1.0
KS05003,7,4.0,1243.0,CHETOPA,4.0,0.0,4.0,4.0,0.0
KS05004,7,4.0,1073.0,ALTAMONT,4.0,0.0,4.0,4.0,0.0
KS05005,7,4.0,422.0,EDNA,1.0,0.0,1.0,1.0,0.0
KS05006,7,4.0,416.0,MOUND VALLEY,1.0,0.0,1.0,1.0,0.0
KS05100,8D,4.0,1955.0,LANE,7.0,0.0,7.0,4.0,3.0
KS05200,9C,4.0,20360.0,LEAVENWORTH,59.0,27.0,86.0,52.0,34.0
KS05201,4,4.0,35366.0,LEAVENWORTH,64.0,26.0,90.0,64.0,26.0
KS05202,6,4.0,3332.0,TONGANOXIE,7.0,1.0,8.0,7.0,1.0
KS05203,5,4.0,10076.0,LANSING,12.0,3.0,15.0,13.0,2.0
KS05205,6,4.0,2727.0,BASEHOR,6.0,1.0,7.0,6.0,1.0
KS05300,8D,4.0,3513.0,LINCOLN,9.0,2.0,11.0,6.0,5.0
KS05400,9D,4.0,5849.0,LINN,13.0,10.0,23.0,12.0,11.0
KS05401,7,4.0,821.0,MOUND CITY,0.0,0.0,0.0,0.0,0.0
KS05402,7,4.0,1387.0,PLEASANTON,3.0,0.0,3.0,3.0,0.0
KS05403,7,4.0,1128.0,LA CYGNE,2.0,0.0,2.0,2.0,0.0
KS05404,7,4.0,282.0,PARKER,0.0,1.0,1.0,1.0,0.0
KS05405,7,4.0,580.0,LINN VALLEY,1.0,0.0,1.0,1.0,0.0
KS05500,8D,4.0,882.0,LOGAN,3.0,1.0,4.0,3.0,1.0
KS05501,7,4.0,2039.0,OAKLEY,7.0,4.0,11.0,6.0,5.0
KS05600,8D,4.0,8232.0,LYON,47.0,15.0,62.0,23.0,39.0
KS05601,4,4.0,26783.0,EMPORIA,49.0,19.0,68.0,46.0,22.0
KS05602,7,4.0,0.0,EMPORIA STATE UNIVERSITY,8.0,1.0,9.0,9.0,0.0
KS05603,7,4.0,948.0,AMERICUS,1.0,0.0,1.0,1.0,0.0
KS05700,8D,4.0,7408.0,MCPHERSON,26.0,7.0,33.0,15.0,18.0
KS05701,5,4.0,13791.0,MCPHERSON,24.0,7.0,31.0,26.0,5.0
KS05702,6,4.0,3304.0,LINDSBORG,4.0,2.0,6.0,5.0,1.0
KS05703,7,4.0,733.0,GALVA,0.0,1.0,1.0,1.0,0.0
KS05704,7,4.0,1652.0,MOUNDRIDGE,3.0,0.0,3.0,3.0,0.0
KS05706,7,4.0,569.0,MARQUETTE,1.0,0.0,1.0,1.0,0.0
KS05708,7,4.0,1199.0,INMAN,2.0,0.0,2.0,2.0,0.0
KS05709,7,4.0,819.0,CANTON,2.0,0.0,2.0,2.0,0.0
KS05800,8D,4.0,5571.0,MARION,10.0,0.0,10.0,9.0,1.0
KS05801,6,4.0,2852.0,HILLSBORO,5.0,0.0,5.0,5.0,0.0
KS05802,7,4.0,2067.0,MARION,5.0,0.0,5.0,5.0,0.0
KS05803,7,4.0,1360.0,PEABODY,3.0,0.0,3.0,3.0,0.0
KS05804,7,4.0,670.0,FLORENCE,2.0,1.0,3.0,2.0,1.0
KS05805,7,4.0,559.0,GOESSEL,0.0,0.0,0.0,0.0,0.0
KS05806,7,4.0,279.0,BURNS,0.0,0.0,0.0,0.0,0.0
KS05900,8D,4.0,4953.0,MARSHALL,8.0,6.0,14.0,6.0,8.0
KS05901,6,4.0,3147.0,MARYSVILLE,6.0,1.0,7.0,6.0,1.0
KS05902,7,4.0,1066.0,BLUE RAPIDS,2.0,0.0,2.0,2.0,0.0
KS05903,7,4.0,821.0,FRANKFORT,1.0,0.0,1.0,1.0,0.0
KS05904,7,4.0,649.0,WATERVILLE,1.0,0.0,1.0,1.0,0.0
KS06000,8D,4.0,3018.0,MEADE,10.0,5.0,15.0,5.0,10.0
KS06001,7,4.0,1665.0,MEADE,3.0,0.0,3.0,3.0,0.0
KS06100,9C,4.0,16060.0,MIAMI,30.0,7.0,37.0,23.0,14.0
KS06101,6,4.0,5087.0,PAOLA,15.0,6.0,21.0,15.0,6.0
KS06102,6,4.0,4615.0,OSAWATOMIE,12.0,4.0,16.0,11.0,5.0
KS06103,6,4.0,2902.0,LOUISBURG,7.0,2.0,9.0,9.0,0.0
KS06200,8D,4.0,2345.0,MITCHELL,6.0,1.0,7.0,6.0,1.0
KS06201,6,4.0,3886.0,BELOIT,8.0,2.0,10.0,9.0,1.0
KS06203,7,4.0,506.0,CAWKER CITY,1.0,0.0,1.0,1.0,0.0
KS06300,8C,4.0,10821.0,MONTGOMERY,19.0,11.0,30.0,19.0,11.0
KS06301,5,4.0,10518.0,COFFEYVILLE,22.0,6.0,28.0,21.0,7.0
KS06302,6,4.0,9434.0,INDEPENDENCE,21.0,10.0,31.0,23.0,8.0
KS06303,7,4.0,2302.0,CHERRYVALE,6.0,0.0,6.0,6.0,0.0
KS06304,7,4.0,2013.0,CANEY,9.0,0.0,9.0,5.0,4.0
KS06400,8D,4.0,3736.0,MORRIS,9.0,5.0,14.0,9.0,5.0
KS06401,7,4.0,2285.0,COUNCIL GROVE,6.0,1.0,7.0,6.0,1.0
KS06402,7,4.0,499.0,WHITE CITY,0.0,0.0,0.0,0.0,0.0
KS06500,8D,4.0,745.0,MORTON,7.0,3.0,10.0,6.0,4.0
KS06501,7,4.0,2129.0,ELKHART,3.0,0.0,3.0,3.0,0.0
KS06502,7,4.0,458.0,ROLLA,0.0,0.0,0.0,0.0,0.0
KS06600,8D,4.0,5905.0,NEMAHA,11.0,3.0,14.0,8.0,6.0
KS06601,6,4.0,2570.0,SABETHA,5.0,0.0,5.0,5.0,0.0
KS06602,7,4.0,2093.0,SENECA,5.0,0.0,5.0,5.0,0.0
KS06700,8D,4.0,6377.0,NEOSHO,18.0,11.0,29.0,13.0,16.0
KS06701,6,4.0,9093.0,CHANUTE,20.0,3.0,23.0,19.0,4.0
KS06702,7,4.0,1183.0,ERIE,3.0,0.0,3.0,3.0,0.0
KS06800,8D,4.0,3172.0,NESS,6.0,5.0,11.0,6.0,5.0
KS06801,7,4.0,1409.0,NESS CITY,1.0,0.0,1.0,1.0,0.0
KS06900,8D,4.0,2908.0,NORTON,5.0,5.0,10.0,5.0,5.0
KS06901,6,4.0,2914.0,NORTON,5.0,0.0,5.0,5.0,0.0
KS07000,9D,4.0,7843.0,OSAGE,27.0,9.0,36.0,20.0,16.0
KS07001,6,4.0,2967.0,OSAGE CITY,6.0,0.0,6.0,6.0,0.0
KS07002,7,4.0,1001.0,BURLINGAME,2.0,0.0,2.0,2.0,0.0
KS07003,7,4.0,1445.0,CARBONDALE,3.0,0.0,3.0,3.0,0.0
KS07004,7,4.0,1033.0,LYNDON,2.0,0.0,2.0,2.0,0.0
KS07005,7,4.0,964.0,OVERBROOK,2.0,0.0,2.0,2.0,0.0
KS07006,7,4.0,714.0,SCRANTON,1.0,0.0,1.0,1.0,0.0
KS07007,7,4.0,463.0,QUENEMO,0.0,0.0,0.0,0.0,0.0
KS07008,7,4.0,428.0,MELVERN,1.0,0.0,1.0,1.0,0.0
KS07100,8D,4.0,2693.0,OSBORNE,9.0,0.0,9.0,9.0,0.0
KS07101,7,4.0,1504.0,OSBORNE,4.0,0.0,4.0,4.0,0.0
KS07102,7,4.0,982.0,DOWNS,1.0,1.0,2.0,2.0,0.0
KS07200,8D,4.0,3690.0,OTTAWA,5.0,5.0,10.0,5.0,5.0
KS07201,7,4.0,461.0,DELPHOS,0.0,0.0,0.0,0.0,0.0
KS07202,7,4.0,2053.0,MINNEAPOLIS,5.0,0.0,5.0,5.0,0.0
KS07300,8D,4.0,2877.0,PAWNEE,10.0,4.0,14.0,7.0,7.0
KS07301,6,4.0,3949.0,LARNED,9.0,5.0,14.0,8.0,6.0
KS07400,8D,4.0,5682.0,PHILLIPS,11.0,5.0,16.0,10.0,6.0
KS07401,6,4.0,2521.0,PHILLIPSBURG,6.0,0.0,6.0,6.0,0.0
KS07402,7,4.0,568.0,LOGAN,0.0,0.0,0.0,0.0,0.0
KS07500,8C,4.0,11818.0,POTTAWATOMIE,23.0,8.0,31.0,21.0,10.0
KS07501,7,4.0,2263.0,ST. MARYS,4.0,1.0,5.0,5.0,0.0
KS07502,6,4.0,4256.0,WAMEGO,8.0,4.0,12.0,7.0,5.0
KS07504,7,4.0,459.0,ST. GEORGE,0.0,1.0,1.0,1.0,0.0
KS07600,8D,4.0,3029.0,PRATT,11.0,2.0,13.0,8.0,5.0
KS07601,6,4.0,6450.0,PRATT,14.0,4.0,18.0,14.0,4.0
KS07602,7,4.0,0.0,KS DPT OF WI & PKS,161.0,5.0,166.0,165.0,1.0
KS07700,8D,4.0,1633.0,RAWLINS,3.0,5.0,8.0,3.0,5.0
KS07701,7,4.0,1223.0,ATWOOD,3.0,0.0,3.0,3.0,0.0
KS07800,8C,4.0,16927.0,RENO,55.0,24.0,79.0,67.0,12.0
KS07801,4,4.0,40963.0,HUTCHINSON,72.0,24.0,96.0,69.0,27.0
KS07802,6,4.0,2518.0,SOUTH HUTCHINSON,7.0,2.0,9.0,7.0,2.0
KS07803,7,4.0,1175.0,HAVEN,2.0,0.0,2.0,2.0,0.0
KS07804,7,4.0,1188.0,NICKERSON,2.0,1.0,3.0,3.0,0.0
KS07806,7,4.0,1342.0,BUHLER,3.0,0.0,3.0,3.0,0.0
KS07808,7,4.0,601.0,PRETTY PRAIRIE,0.0,0.0,0.0,0.0,0.0
KS07900,8D,4.0,3287.0,REPUBLIC,9.0,3.0,12.0,7.0,5.0
