ori,group,year,pop,agency_name,m_emp,f_emp,emp,sworn,civil
AL00508,5,4.0,17813.0,DAPHNE,47.0,22.0,69.0,40.0,29.0
AL00509,7,4.0,671.0,SUMMERDALE,4.0,1.0,5.0,4.0,1.0
AL00510,7,4.0,575.0,ELBERTA,4.0,2.0,6.0,5.0,1.0
AL00512,6,4.0,4309.0,ORANGE BEACH,42.0,8.0,50.0,32.0,18.0
AL00513,6,4.0,5621.0,SPANISH FORT,10.0,0.0,10.0,10.0,0.0
AL00600,8C,4.0,10672.0,BARBOUR,19.0,13.0,32.0,12.0,20.0
AL00601,5,4.0,13740.0,EUFAULA,35.0,16.0,51.0,35.0,16.0
AL00602,7,4.0,1429.0,CLAYTON,4.0,0.0,4.0,4.0,0.0
AL00603,7,4.0,2238.0,CLIO,4.0,0.0,4.0,4.0,0.0
AL00604,7,4.0,591.0,LOUISVILLE,3.0,0.0,3.0,3.0,0.0
AL00607,7,4.0,334.0,BAKER HILL,0.0,0.0,0.0,0.0,0.0
AL00700,9C,4.0,12413.0,BIBB,11.0,1.0,12.0,11.0,1.0
AL00701,7,4.0,2491.0,CENTREVILLE,6.0,0.0,6.0,6.0,0.0
AL00702,6,4.0,4108.0,BRENT,5.0,0.0,5.0,5.0,0.0
AL00703,7,4.0,1390.0,WEST BLOCTON,3.0,1.0,4.0,3.0,1.0
AL00704,7,4.0,907.0,WOODSTOCK,4.0,0.0,4.0,4.0,0.0
AL00800,9B,4.0,44025.0,BLOUNT,38.0,5.0,43.0,40.0,3.0
AL00801,6,4.0,6073.0,ONEONTA,16.0,3.0,19.0,18.0,1.0
AL00802,7,4.0,1856.0,BLOUNTSVILLE,8.0,0.0,8.0,8.0,0.0
AL00803,7,4.0,1315.0,CLEVELAND,2.0,0.0,2.0,2.0,0.0
AL00804,7,4.0,788.0,SNEAD,4.0,1.0,5.0,5.0,0.0
AL00805,7,4.0,433.0,HIGHLAND LAKE,0.0,0.0,0.0,0.0,0.0
AL00900,8D,4.0,7824.0,BULLOCK,6.0,5.0,11.0,5.0,6.0
AL00901,6,4.0,3589.0,UNION SPRINGS,11.0,3.0,14.0,10.0,4.0
AL01000,8C,4.0,11473.0,BUTLER,13.0,8.0,21.0,9.0,12.0
AL01001,6,4.0,7094.0,GREENVILLE,34.0,7.0,41.0,33.0,8.0
AL01002,7,4.0,1647.0,GEORGIANA,2.0,0.0,2.0,2.0,0.0
AL01003,7,4.0,616.0,MCKENZIE,2.0,0.0,2.0,2.0,0.0
AL01100,9B,4.0,57283.0,CALHOUN,33.0,8.0,41.0,35.0,6.0
AL01101,5,4.0,23905.0,ANNISTON,103.0,21.0,124.0,94.0,30.0
AL01102,6,4.0,8621.0,JACKSONVILLE,25.0,4.0,29.0,24.0,5.0
AL01103,6,4.0,5019.0,PIEDMONT,17.0,4.0,21.0,15.0,6.0
AL01104,6,4.0,2578.0,WEAVER,5.0,3.0,8.0,5.0,3.0
AL01105,5,4.0,15571.0,OXFORD,47.0,9.0,56.0,45.0,11.0
AL01106,7,4.0,862.0,HOBSON CITY,4.0,4.0,8.0,5.0,3.0
AL01107,7,4.0,1221.0,OHATCHEE,5.0,0.0,5.0,5.0,0.0
AL01108,7,4.0,0.0,JACKSONVILLE STATE UNIV,14.0,4.0,18.0,14.0,4.0
AL01200,8C,4.0,16238.0,CHAMBERS,35.0,17.0,52.0,18.0,34.0
AL01201,6,4.0,3141.0,LAFAYETTE,14.0,1.0,15.0,14.0,1.0
AL01202,6,4.0,7660.0,LANETT,22.0,3.0,25.0,23.0,2.0
AL01204,6,4.0,8946.0,VALLEY,25.0,11.0,36.0,28.0,8.0
AL01300,8C,4.0,19780.0,CHEROKEE,29.0,9.0,38.0,16.0,22.0
AL01301,6,4.0,3294.0,CENTRE,10.0,0.0,10.0,9.0,1.0
AL01302,7,4.0,1506.0,CEDAR BLUFF,3.0,0.0,3.0,3.0,0.0
AL01400,9B,4.0,27902.0,CHILTON,35.0,16.0,51.0,23.0,28.0
AL01401,6,4.0,8149.0,CLANTON,24.0,1.0,25.0,23.0,2.0
AL01402,7,4.0,687.0,MAPLESVILLE,5.0,0.0,5.0,5.0,0.0
AL01403,7,4.0,2336.0,JEMISON,5.0,0.0,5.0,5.0,0.0
AL01404,7,4.0,1933.0,THORSBY,4.0,0.0,4.0,4.0,0.0
AL01500,8C,4.0,12673.0,CHOCTAW,12.0,3.0,15.0,6.0,9.0
AL01501,7,4.0,1851.0,BUTLER,5.0,4.0,9.0,5.0,4.0
AL01502,7,4.0,179.0,GILBERTOWN,2.0,0.0,2.0,2.0,0.0
AL01503,7,4.0,346.0,PENNINGTON,2.0,1.0,3.0,2.0,1.0
AL01504,7,4.0,514.0,SILAS,1.0,0.0,1.0,1.0,0.0
AL01505,7,4.0,146.0,TOXEY,0.0,0.0,0.0,0.0,0.0
AL01600,8C,4.0,15973.0,CLARKE,16.0,6.0,22.0,12.0,10.0
AL01601,6,4.0,5305.0,JACKSON,18.0,6.0,24.0,19.0,5.0
AL01602,6,4.0,4623.0,THOMASVILLE,20.0,6.0,26.0,20.0,6.0
AL01603,7,4.0,1409.0,GROVE HILL,6.0,0.0,6.0,6.0,0.0
AL01604,7,4.0,305.0,FULTON,0.0,0.0,0.0,0.0,0.0
AL01606,7,4.0,357.0,COFFEEVILLE,2.0,0.0,2.0,1.0,1.0
AL01700,8D,4.0,9961.0,CLAY,16.0,12.0,28.0,9.0,19.0
AL01701,7,4.0,1939.0,ASHLAND,9.0,3.0,12.0,8.0,4.0
AL01702,7,4.0,2375.0,LINEVILLE,7.0,5.0,12.0,8.0,4.0
AL01800,8C,4.0,11152.0,CLEBURNE,18.0,5.0,23.0,9.0,14.0
AL01801,6,4.0,3140.0,HEFLIN,10.0,0.0,10.0,9.0,1.0
AL01802,7,4.0,479.0,RANBURNE,1.0,0.0,1.0,1.0,0.0
AL01900,8C,4.0,17028.0,COFFEE,27.0,7.0,34.0,11.0,23.0
AL01901,6,4.0,4219.0,ELBA,21.0,8.0,29.0,19.0,10.0
AL01902,5,4.0,22004.0,ENTERPRISE,67.0,6.0,73.0,54.0,19.0
AL01903,7,4.0,1250.0,NEW BROCKTON,5.0,0.0,5.0,5.0,0.0
AL01904,7,4.0,613.0,KINSTON,1.0,0.0,1.0,1.0,0.0
AL01905,7,4.0,0.0,ENTERPRISE ST JUNIOR CO,2.0,0.0,2.0,2.0,0.0
AL02000,9C,4.0,22188.0,COLBERT,37.0,9.0,46.0,31.0,15.0
AL02001,6,4.0,9347.0,SHEFFIELD,33.0,5.0,38.0,33.0,5.0
AL02002,6,4.0,8019.0,TUSCUMBIA,21.0,7.0,28.0,22.0,6.0
AL02003,5,4.0,12329.0,MUSCLE SHOALS,36.0,2.0,38.0,31.0,7.0
AL02004,7,4.0,1203.0,CHEROKEE,3.0,0.0,3.0,3.0,0.0
AL02005,7,4.0,842.0,LEIGHTON,5.0,0.0,5.0,5.0,0.0
AL02006,7,4.0,960.0,LITTLEVILLE,6.0,0.0,6.0,5.0,1.0
AL02100,8D,4.0,9547.0,CONECUH,8.0,0.0,8.0,8.0,0.0
AL02101,6,4.0,3553.0,EVERGREEN,14.0,7.0,21.0,14.0,7.0
AL02102,7,4.0,575.0,CASTLEBERRY,0.0,0.0,0.0,0.0,0.0
AL02200,8D,4.0,9602.0,COOSA,12.0,5.0,17.0,7.0,10.0
AL02201,7,4.0,1560.0,GOODWATER,4.0,0.0,4.0,4.0,0.0
AL02202,7,4.0,413.0,ROCKFORD,2.0,1.0,3.0,2.0,1.0
AL02300,8C,4.0,18831.0,COVINGTON,37.0,10.0,47.0,24.0,23.0
AL02301,6,4.0,8666.0,ANDALUSIA,33.0,6.0,39.0,29.0,10.0
AL02302,6,4.0,6468.0,OPP,21.0,5.0,26.0,20.0,6.0
AL02303,7,4.0,1897.0,FLORALA,4.0,0.0,4.0,4.0,0.0
AL02304,7,4.0,237.0,GANTT,0.0,0.0,0.0,0.0,0.0
AL02305,7,4.0,548.0,RED LEVEL,2.0,0.0,2.0,2.0,0.0
AL02306,7,4.0,535.0,LOCKHART,0.0,0.0,0.0,0.0,0.0
AL02308,7,4.0,0.0,22ND JUD CIRCUIT DRUG TF,5.0,1.0,6.0,5.0,1.0
AL02400,8D,4.0,9594.0,CRENSHAW,9.0,1.0,10.0,9.0,1.0
AL02401,6,4.0,2587.0,LUVERNE,11.0,4.0,15.0,11.0,4.0
AL02402,7,4.0,907.0,BRANTLEY,4.0,1.0,5.0,4.0,1.0
AL02403,7,4.0,388.0,DOZIER,1.0,0.0,1.0,1.0,0.0
AL02404,7,4.0,191.0,GLENWOOD,0.0,0.0,0.0,0.0,0.0
AL02500,8B,4.0,61260.0,CULLMAN,72.0,24.0,96.0,64.0,32.0
AL02501,5,4.0,14489.0,CULLMAN,45.0,21.0,66.0,45.0,21.0
AL02502,6,4.0,3004.0,HANCEVILLE,9.0,3.0,12.0,8.0,4.0
AL02503,7,4.0,575.0,GARDEN CITY,0.0,0.0,0.0,0.0,0.0
AL02504,7,4.0,1998.0,GOOD HOPE,0.0,0.0,0.0,0.0,0.0
AL02600,8C,4.0,21520.0,DALE,16.0,6.0,22.0,18.0,4.0
AL02601,5,4.0,15085.0,OZARK,37.0,7.0,44.0,38.0,6.0
AL02602,6,4.0,4641.0,DALEVILLE,21.0,3.0,24.0,17.0,7.0
AL02603,7,4.0,1568.0,LEVEL PLAINS,5.0,4.0,9.0,3.0,6.0
AL02604,7,4.0,410.0,NAPIER FIELD,2.0,0.0,2.0,2.0,0.0
AL02605,7,4.0,1720.0,NEWTON,3.0,1.0,4.0,3.0,1.0
AL02606,7,4.0,1765.0,MIDLAND CITY,8.0,4.0,12.0,7.0,5.0
AL02607,7,4.0,660.0,PINCKARD,2.0,0.0,2.0,2.0,0.0
AL02608,7,4.0,763.0,ARITON,1.0,0.0,1.0,1.0,0.0
AL02609,7,4.0,509.0,CLAYHATCHEE,1.0,0.0,1.0,1.0,0.0
AL02700,8B,4.0,25513.0,DALLAS,39.0,13.0,52.0,24.0,28.0
AL02701,5,4.0,19758.0,SELMA,59.0,27.0,86.0,58.0,28.0
AL02800,8B,4.0,40166.0,DE KALB,36.0,16.0,52.0,23.0,29.0
AL02801,5,4.0,13366.0,FORT PAYNE,38.0,1.0,39.0,36.0,3.0
AL02802,7,4.0,1660.0,COLLINSVILLE,8.0,1.0,9.0,5.0,4.0
AL02803,7,4.0,806.0,GERALDINE,7.0,0.0,7.0,4.0,3.0
AL02804,7,4.0,2493.0,HENAGAR,6.0,3.0,9.0,4.0,5.0
AL02805,7,4.0,957.0,POWELLS CROSSROADS,5.0,1.0,6.0,1.0,5.0
AL02806,7,4.0,462.0,MENTONE,0.0,0.0,0.0,0.0,0.0
AL02807,6,4.0,4730.0,RAINSVILLE,14.0,1.0,15.0,11.0,4.0
AL02808,7,4.0,503.0,HAMMONDVILLE,1.0,1.0,2.0,1.0,1.0
AL02810,7,4.0,1447.0,CROSSVILLE,6.0,2.0,8.0,3.0,5.0
AL02811,7,4.0,1008.0,FYFFE,7.0,0.0,7.0,3.0,4.0
AL02812,7,4.0,1234.0,SYLVANIA,2.0,0.0,2.0,2.0,0.0
AL02813,7,4.0,632.0,VALLEY HEAD,2.0,1.0,3.0,2.0,1.0
AL02814,7,4.0,682.0,IDER,6.0,1.0,7.0,3.0,4.0
AL02900,9B,4.0,45004.0,ELMORE,55.0,17.0,72.0,30.0,42.0
AL02901,6,4.0,6553.0,WETUMPKA,23.0,9.0,32.0,24.0,8.0
AL02902,6,4.0,4983.0,TALLASSEE,15.0,8.0,23.0,17.0,6.0
AL02903,7,4.0,1090.0,ECLECTIC,3.0,4.0,7.0,3.0,4.0
AL02904,7,4.0,1467.0,COOSADA,3.0,0.0,3.0,3.0,0.0
AL02906,5,4.0,12536.0,MILLBROOK,21.0,6.0,27.0,21.0,6.0
AL03000,8C,4.0,21467.0,ESCAMBIA,27.0,19.0,46.0,19.0,27.0
AL03001,6,4.0,7546.0,ATMORE,19.0,5.0,24.0,20.0,4.0
AL03002,6,4.0,5383.0,BREWTON,19.0,5.0,24.0,17.0,7.0
AL03003,7,4.0,2461.0,EAST BREWTON,5.0,2.0,7.0,5.0,2.0
AL03004,7,4.0,1572.0,FLOMATON,2.0,5.0,7.0,3.0,4.0
AL03100,9B,4.0,31324.0,ETOWAH,53.0,18.0,71.0,58.0,13.0
AL03101,6,4.0,6436.0,ATTALLA,22.0,5.0,27.0,22.0,5.0
AL03102,4,4.0,37865.0,GADSDEN,96.0,28.0,124.0,95.0,29.0
AL03104,6,4.0,5221.0,GLENCOE,7.0,2.0,9.0,6.0,3.0
AL03105,6,4.0,8817.0,RAINBOW CITY,21.0,12.0,33.0,20.0,13.0
AL03106,6,4.0,4269.0,HOKES BLUFF,5.0,4.0,9.0,6.0,3.0
AL03107,6,4.0,7493.0,SOUTHSIDE,11.0,3.0,14.0,9.0,5.0
AL03108,7,4.0,1748.0,SARDIS CITY,3.0,1.0,4.0,4.0,0.0
AL03109,7,4.0,976.0,ALTOONA,0.0,0.0,0.0,0.0,0.0
AL03200,8C,4.0,11493.0,FAYETTE,14.0,2.0,16.0,10.0,6.0
AL03201,6,4.0,4800.0,FAYETTE,10.0,1.0,11.0,11.0,0.0
AL03202,7,4.0,1233.0,BERRY,0.0,0.0,0.0,0.0,0.0
AL03300,8C,4.0,17530.0,FRANKLIN,28.0,14.0,42.0,19.0,23.0
AL03301,6,4.0,8840.0,RUSSELLVILLE,23.0,5.0,28.0,23.0,5.0
AL03302,7,4.0,1061.0,PHIL CAMPBELL,3.0,0.0,3.0,3.0,0.0
AL03303,6,4.0,3315.0,RED BAY,6.0,4.0,10.0,6.0,4.0
AL03304,7,4.0,401.0,VINA,0.0,0.0,0.0,0.0,0.0
AL03305,7,4.0,257.0,HODGES,2.0,0.0,2.0,2.0,0.0
AL03400,9C,4.0,14894.0,GENEVA,10.0,3.0,13.0,11.0,2.0
AL03401,6,4.0,4358.0,GENEVA,12.0,4.0,16.0,11.0,5.0
AL03402,7,4.0,2030.0,SAMSON,8.0,2.0,10.0,6.0,4.0
AL03403,7,4.0,2350.0,HARTFORD,12.0,3.0,15.0,10.0,5.0
AL03404,7,4.0,2015.0,SLOCOMB,6.0,4.0,10.0,7.0,3.0
AL03405,7,4.0,251.0,COFFEE SPRINGS,0.0,0.0,0.0,0.0,0.0
AL03500,9D,4.0,8109.0,GREENE,11.0,13.0,24.0,8.0,16.0
AL03501,7,4.0,1856.0,EUTAW,8.0,2.0,10.0,9.0,1.0
AL03600,9C,4.0,14022.0,HALE,4.0,1.0,5.0,4.0,1.0
AL03601,6,4.0,2661.0,GREENSBORO,8.0,0.0,8.0,8.0,0.0
AL03602,7,4.0,2010.0,MOUNDVILLE,5.0,1.0,6.0,5.0,1.0
AL03700,9D,4.0,9421.0,HENRY,10.0,2.0,12.0,8.0,4.0
AL03701,6,4.0,2973.0,ABBEVILLE,9.0,11.0,20.0,10.0,10.0
AL03702,6,4.0,3598.0,HEADLAND,9.0,5.0,14.0,9.0,5.0
AL03703,7,4.0,545.0,NEWVILLE,2.0,2.0,4.0,1.0,3.0
AL03800,9B,4.0,25493.0,HOUSTON,49.0,24.0,73.0,46.0,27.0
AL03801,3,4.0,60429.0,DOTHAN,189.0,32.0,221.0,151.0,70.0
AL03802,7,4.0,1891.0,ASHFORD,7.0,3.0,10.0,6.0,4.0
AL03803,7,4.0,417.0,GORDON,1.0,1.0,2.0,1.0,1.0
AL03804,7,4.0,810.0,COLUMBIA,0.0,0.0,0.0,0.0,0.0
AL03805,7,4.0,1175.0,COTTONWOOD,3.0,0.0,3.0,3.0,0.0
AL03806,7,4.0,1883.0,KINSEY,2.0,1.0,3.0,2.0,1.0
AL03809,7,4.0,1935.0,TAYLOR,2.0,0.0,2.0,2.0,0.0
AL03900,8B,4.0,31569.0,JACKSON,54.0,23.0,77.0,33.0,44.0
AL03901,5,4.0,14873.0,SCOTTSBORO,52.0,13.0,65.0,45.0,20.0
AL03902,6,4.0,2690.0,BRIDGEPORT,8.0,1.0,9.0,5.0,4.0
AL03903,7,4.0,1762.0,STEVENSON,8.0,2.0,10.0,6.0,4.0
AL03904,7,4.0,944.0,HOLLYWOOD,3.0,0.0,3.0,2.0,1.0
AL03905,7,4.0,706.0,PISGAH,1.0,0.0,1.0,1.0,0.0
AL03906,7,4.0,310.0,DUTTON,0.0,0.0,0.0,0.0,0.0
AL03907,7,4.0,768.0,SECTION,1.0,0.0,1.0,1.0,0.0
AL03909,7,4.0,841.0,SKYLINE,1.0,1.0,2.0,1.0,1.0
AL04000,8C,4.0,10078.0,LAMAR,13.0,5.0,18.0,7.0,11.0
AL04001,7,4.0,2061.0,SULLIGENT,6.0,1.0,7.0,7.0,0.0
AL04002,7,4.0,2019.0,VERNON,7.0,1.0,8.0,8.0,0.0
AL04003,7,4.0,519.0,KENNEDY,1.0,0.0,1.0,1.0,0.0
AL04004,7,4.0,1087.0,MILLPORT,2.0,0.0,2.0,2.0,0.0
AL04100,9B,4.0,47954.0,LAUDERDALE,28.0,10.0,38.0,30.0,8.0
AL04101,4,4.0,36086.0,FLORENCE,90.0,25.0,115.0,91.0,24.0
AL04102,7,4.0,208.0,WATERLOO,1.0,1.0,2.0,1.0,1.0
AL04103,7,4.0,348.0,ANDERSON,2.0,0.0,2.0,2.0,0.0
AL04104,7,4.0,382.0,ST. FLORIAN,2.0,1.0,3.0,2.0,1.0
AL04105,7,4.0,830.0,LEXINGTON,1.0,0.0,1.0,1.0,0.0
AL04106,7,4.0,1188.0,ROGERSVILLE,2.0,3.0,5.0,2.0,3.0
AL04107,7,4.0,1097.0,KILLEN,5.0,0.0,5.0,5.0,0.0
AL04108,7,4.0,0.0,UNIV OF NORTH ALABAMA,10.0,2.0,12.0,11.0,1.0
AL04200,9B,4.0,28976.0,LAWRENCE,3.0,1.0,4.0,3.0,1.0
AL04201,6,4.0,3278.0,MOULTON,8.0,0.0,8.0,8.0,0.0
AL04202,7,4.0,1209.0,TOWN CREEK,4.0,0.0,4.0,4.0,0.0
