longname,shortnam,step,mort,mort2,logmort0,logmort2,risk,loggdp,campaign,campaign2,source0,source2,slave,latitude,neoeuro,asia,africa,other,rainmin,meantemp,edes1975,malaria,nafrica,other2,asiae_bl,laam_bl,oecd_bl,safrica_bl,col_fr,col_uk,cons90,lado1995,urb1500,pd1500,bishops,epidemic,notsoudan,ajr_ead,inconsis,new_data,mort_bis,mort_set
Nicaragua,NIC,4.0,163.3000030517578,163.3000030517578,5.0955891609191895,5.0955891609191895,5.230000019073486,7.539999961853027,1.0,1.0,0.0,0.0,0.0,0.1444000005722046,0.0,0.0,0.0,0.0,1.0,27.0,20.0,0.10000000149011612,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,9.199999809265137,1.5399999618530273,1.0,0.0,0.0,0.0,0.0,0.0,32.79999923706055,
New Zealand,NZL,1.0,8.550000190734863,8.550000190734863,2.1459312438964844,2.1459312438964844,9.729999542236328,9.760000228881836,0.0,0.0,1.0,1.0,0.0,0.45559999346733093,1.0,0.0,0.0,1.0,81.0,15.0,91.69999694824219,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,6.0,3.0,0.3700000047683716,0.0,0.0,0.0,1.0,0.0,0.0,,
Pakistan,PAK,3.0,36.9900016784668,36.9900016784668,3.610647678375244,3.610647678375244,6.050000190734863,7.349999904632568,1.0,1.0,0.0,0.0,0.0,0.33329999446868896,0.0,1.0,0.0,0.0,12.0,22.0,0.0,0.494610995054245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,8.539999961853027,23.700000762939453,0.0,0.0,0.0,0.0,0.0,0.0,,
Panama,PAN,4.0,163.3000030517578,163.3000030517578,5.0955891609191895,5.0955891609191895,5.909999847412109,8.84000015258789,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,10.0,27.0,20.0,0.03099600039422512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,9.199999809265137,1.5399999618530273,1.0,0.0,0.0,0.0,0.0,0.0,32.79999923706055,
Peru,PER,4.0,71.0,71.0,4.2626800537109375,4.2626800537109375,5.769999980926514,8.399999618530273,1.0,1.0,0.0,0.0,0.0,0.11110000312328339,0.0,0.0,0.0,0.0,0.0,22.0,30.000001907348633,0.029736999422311783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,10.489999771118164,1.5625,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
Paraguay,PRY,4.0,78.0999984741211,78.0999984741211,4.357990264892578,4.357990264892578,6.949999809265137,8.210000038146973,1.0,1.0,0.0,0.0,0.0,0.2556000053882599,0.0,0.0,0.0,0.0,38.0,22.0,25.0,0.0001720000000204891,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.5033979415893555,1.0,0.0,0.0,0.0,0.0,0.0,17.5,
Sudan,SDN,2.0,88.19999694824219,30.360000610351562,4.479607105255127,3.413125991821289,4.0,7.309999942779541,1.0,1.0,1.0,1.0,0.0,0.16670000553131104,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.980239987373352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,14.029180526733398,0.0,0.0,0.0,1.0,1.0,0.0,,
Senegal,SEN,4.0,164.66000366210938,164.66000366210938,5.103882789611816,5.103882789611816,6.0,7.400000095367432,0.0,0.0,1.0,1.0,0.0,0.15559999644756317,0.0,0.0,1.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,,4.230000019073486,0.0,0.0,0.0,1.0,0.0,0.0,,
Singapore,SGP,1.0,17.700000762939453,2.995732307434082,2.8735647201538086,1.0971887111663818,9.319999694824219,10.149999618530273,0.0,0.0,0.0,1.0,0.0,0.01360000018030405,0.0,1.0,0.0,0.0,170.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,0.08734460175037384,0.0,0.0,0.0,1.0,0.0,0.0,,
Sierra Leone,SLE,1.0,483.0,5.857933044433594,6.18001651763916,1.7677968740463257,5.820000171661377,6.25,1.0,1.0,1.0,1.0,0.0,0.09220000356435776,0.0,0.0,1.0,0.0,3.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,,4.230000019073486,0.0,1.0,0.0,1.0,0.0,0.0,,
El Salvador,SLV,4.0,78.0999984741211,78.0999984741211,4.357990264892578,4.357990264892578,5.0,7.949999809265137,1.0,1.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,46.0,24.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,9.199999809265137,1.5399999618530273,1.0,0.0,0.0,0.0,0.0,0.0,17.5,
Togo,TGO,3.0,668.0,668.0,6.504288196563721,6.504288196563721,6.909999847412109,7.21999979019165,1.0,1.0,0.0,0.0,0.0,0.08889999985694885,0.0,0.0,1.0,0.0,15.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,,4.230000019073486,0.0,1.0,0.0,0.0,0.0,0.0,,
Trinidad and Tobago,TTO,1.0,85.0,4.666265487670898,4.442651271820068,1.5403590202331543,7.449999809265137,8.770000457763672,0.0,0.0,1.0,1.0,0.0,0.12219999730587006,0.0,0.0,0.0,0.0,41.0,26.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,,1.4600000381469727,0.0,0.0,0.0,1.0,0.0,0.0,,
Tunisia,TUN,2.0,63.0,63.0,4.143134593963623,4.143134593963623,6.449999809265137,8.479999542236328,1.0,1.0,1.0,1.0,0.0,0.37779998779296875,0.0,0.0,1.0,0.0,3.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,12.300000190734863,11.703023910522461,0.0,0.0,0.0,1.0,0.0,0.0,,
Tanzania,TZA,3.0,145.0,145.0,4.976733684539795,4.976733684539795,6.639999866485596,6.25,0.0,0.0,0.0,0.0,1.0,0.06669999659061432,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,,1.980556607246399,0.0,0.0,0.0,0.0,0.0,0.0,,
Uganda,UGA,3.0,280.0,280.0,5.63478946685791,5.63478946685791,4.449999809265137,6.96999979019165,1.0,1.0,0.0,0.0,0.0,0.011099999770522118,0.0,0.0,1.0,0.0,46.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,,7.513147830963135,0.0,0.0,1.0,0.0,0.0,0.0,,
Uruguary,URY,4.0,71.0,71.0,4.2626800537109375,4.2626800537109375,7.0,9.029999732971191,1.0,1.0,0.0,0.0,0.0,0.3666999936103821,0.0,0.0,0.0,0.0,66.0,20.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.10999999940395355,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
USA,USA,1.0,15.0,15.0,2.70805025100708,2.70805025100708,10.0,10.220000267028809,0.0,0.0,1.0,1.0,0.0,0.4221999943256378,1.0,0.0,0.0,0.0,66.0,12.0,83.60000610351562,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,6.0,0.0,0.08734463900327682,0.0,0.0,0.0,1.0,0.0,0.0,,283.0
Venezuela,VEN,4.0,78.0999984741211,78.0999984741211,4.357990264892578,4.357990264892578,7.139999866485596,9.069999694824219,1.0,1.0,0.0,0.0,0.0,0.08889999985694885,0.0,0.0,0.0,0.0,10.0,20.0,20.0,0.002234000014141202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.4399999976158142,1.0,0.0,0.0,0.0,0.0,0.0,17.5,
Vietnam,VNM,2.0,140.0,140.0,4.9416422843933105,4.9416422843933105,6.409999847412109,7.28000020980835,1.0,1.0,1.0,1.0,0.0,0.1777999997138977,0.0,1.0,0.0,0.0,18.0,25.0,0.0,0.7154579758644104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.269999980926514,6.1445817947387695,0.0,0.0,0.0,1.0,0.0,0.0,,
South Africa,ZAF,1.0,15.5,15.5,2.740839958190918,2.740839958190918,6.860000133514404,8.890000343322754,0.0,0.0,1.0,1.0,0.0,0.3222000002861023,0.0,0.0,1.0,0.0,8.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,,0.4913843870162964,0.0,0.0,0.0,1.0,0.0,0.0,,
Zaire,ZAR,3.0,240.0,240.0,5.4806389808654785,5.4806389808654785,3.5,6.869999885559082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,
